name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper
xie_checked_process,ssshirt_blue,39,1717607532325153011,1717607531779674470,"{'x': -0.12679024785757065, 'y': -0.470192551612854, 'z': -0.8117652237415314}","{'x': 0.12525324202813048, 'y': 0.8693013160546185, 'z': -0.37654639324390266, 'w': 0.2946856986726012}","{'x': 0.37607356160879135, 'y': -0.7902196645736694, 'z': -0.7903847396373749}","{'x': -0.4600835624563953, 'y': -0.6625944937262966, 'z': 0.416439006619202, 'w': 0.41936881883019983}",,"[0.30143421395620157, -0.8278622301773195, -0.8523283029573094]",0,1
xie_checked_process,ssshirt_blue,79,1717607535001938035,1717607534461296487,"{'x': -0.2880505658686161, 'y': -0.6813119649887085, 'z': -0.7941844910383224}","{'x': -0.28311158377920925, 'y': 0.70969795278144, 'z': -0.4131002761841282, 'w': 0.49550460014459774}","{'x': 0.466873224824667, 'y': -0.41292786598205566, 'z': -0.7627934664487839}","{'x': -0.297652231024095, 'y': -0.9163197579832425, 'z': 0.21014077225310587, 'w': 0.1661388164541295}","[-0.20924749064970527, -0.7197469456821898, -0.850200806475295]",,1,0
xie_checked_process,ssshirt_blue,147,1717607539960305481,1717607539425606954,"{'x': -0.20618302002549171, 'y': -0.9669736623764038, 'z': -0.7313255220651627}","{'x': -0.0059589820544233025, 'y': 0.8310726446235576, 'z': -0.5176402936342107, 'w': 0.2033009500655845}","{'x': 0.1980406753718853, 'y': -1.1608165502548218, 'z': -0.9923520237207413}","{'x': -0.10927314784335534, 'y': -0.49821232310312374, 'z': 0.8532255583315685, 'w': 0.10885773687880897}",,"[0.19628780661365614, -1.2625584340332092, -0.9706606305810302]",0,1
xie_checked_process,ssshirt_blue,251,1717607547209851619,1717607546672068902,"{'x': -0.184188861399889, 'y': -0.918099045753479, 'z': -0.6827787309885025}","{'x': -0.016079723208284637, 'y': 0.8271263191661719, 'z': -0.5018151757937097, 'w': 0.2525569717653687}","{'x': 0.1595938615500927, 'y': -1.056600570678711, 'z': -0.944084420800209}","{'x': 0.06443471356610118, 'y': -0.6078422937470371, 'z': 0.7602780803151954, 'w': 0.21989350652585538}",,"[0.15797504905254398, -1.1597085003105354, -0.9579095534627375]",0,1
xie_checked_process,ssshirt_blue,338,1717607553244219622,1717607552705182682,"{'x': -0.3175341673195362, 'y': -1.171439290046692, 'z': -0.9394628256559372}","{'x': -0.18390412169774992, 'y': 0.6035027055067369, 'z': -0.7723933261454236, 'w': 0.0732960312338758}","{'x': -0.08356158807873726, 'y': -1.1706868410110474, 'z': -0.5451283007860184}","{'x': 0.03656938080557356, 'y': -0.5099997293480921, 'z': 0.763121179528948, 'w': 0.39523287035204563}","[-0.3130516542611588, -1.2753258044044236, -0.9429982480185787]","[-0.11522576517525039, -1.2693784813692859, -0.536054161036115]",1,1
xie_checked_process,ssshirt_blue,401,1717607557737005605,1717607557067379122,"{'x': 0.4379531480371952, 'y': -1.1151771545410156, 'z': -0.9499759674072266}","{'x': 0.3278035792145181, 'y': 0.42354710662989703, 'z': -0.7431650901115622, 'w': 0.40107145343325984}","{'x': 0.3475966490805149, 'y': -1.1500416994094849, 'z': -0.46165335178375244}","{'x': -0.5246042407559316, 'y': -0.5848995711500712, 'z': 0.6171818231973448, 'w': 0.04206517994917795}","[0.4362556021584128, -1.2191006850302035, -0.9452836173933995]","[0.3116384191916772, -1.2437723840063386, -0.4889766837230789]",1,1
xie_checked_process,ssshirt_blue,440,1717607560690154608,1717607560089201927,"{'x': -0.06914617866277695, 'y': -1.1433658599853516, 'z': -1.014306515455246}","{'x': -0.120091862063392, 'y': 0.5889372807629556, 'z': -0.7419184121660309, 'w': 0.29713278796308945}","{'x': 0.2717805281281471, 'y': -1.147376298904419, 'z': -1.00741645693779}","{'x': -0.37090054552102925, 'y': -0.5855786941565863, 'z': 0.6970413125018796, 'w': 0.18347693846292293}","[-0.033823000468942654, -1.2409676854403124, -1.0214589101693246]","[0.22732978917048896, -1.2401102355975462, -1.0232135703295844]",1,1
xie_checked_process,lstshirt_white,63,1717608717676843062,1717608717140037722,"{'x': -0.09473811835050583, 'y': -0.37190115451812744, 'z': -0.8338195830583572}","{'x': 0.05842693743384604, 'y': 0.795030516152729, 'z': -0.577459854819622, 'w': 0.17621829484967724}","{'x': 0.21158582717180252, 'y': -0.5672951936721802, 'z': -0.8244246989488602}","{'x': -0.21933205686891535, 'y': -0.808682736277876, 'z': 0.3712260361846, 'w': 0.40014611198217115}",,"[0.15386946867950993, -0.6083684463325013, -0.9006271259331143]",0,1
xie_checked_process,lstshirt_white,117,1717608721496157014,1717608720967006736,"{'x': -0.1525464691221714, 'y': -0.553938627243042, 'z': -0.7811667323112488}","{'x': -0.19349124534649562, 'y': 0.7546416683378186, 'z': -0.24449889788642512, 'w': 0.5773191312566209}","{'x': 0.3883856199681759, 'y': -0.3453480005264282, 'z': -0.7463598847389221}","{'x': -0.2682497825230608, 'y': -0.8936202728716339, 'z': 0.20019523806686879, 'w': 0.2990095796868502}","[-0.06882833549787808, -0.560834511602057, -0.8425566409393943]",,1,0
xie_checked_process,lstshirt_white,190,1717608726737609888,1717608726193973922,"{'x': -0.1577250175178051, 'y': -1.0384466648101807, 'z': -0.47941620647907257}","{'x': -0.269242384128351, 'y': 0.6098415425857091, 'z': -0.7210839914072809, 'w': 0.18878482158719392}","{'x': 0.2556295581161976, 'y': -1.1126374006271362, 'z': -0.9631008952856064}","{'x': -0.06983382152335141, 'y': -0.6604109842575406, 'z': 0.7357646799965887, 'w': 0.13278141779988872}",,"[0.25476088921787104, -1.2146004243622854, -0.9837839125976547]",0,1
xie_checked_process,lstshirt_white,229,1717608729420853506,1717608728880934410,"{'x': -0.2977140471339226, 'y': -1.0639454126358032, 'z': -0.49639931321144104}","{'x': -0.3768152839763753, 'y': 0.613627018919087, 'z': -0.6925426844690904, 'w': 0.0430900638503117}","{'x': 0.4789719954133034, 'y': -1.1249704360961914, 'z': -0.4886472225189209}","{'x': 0.5810309140767549, 'y': 0.540171863858802, 'z': -0.596124981203277, 'w': 0.12350077395640653}",,"[0.45791521455811457, -1.2257780952480088, -0.503460319303441]",0,1
xie_checked_process,lstshirt_white,283,1717608733304597078,1717608732772732171,"{'x': -0.34629663825035095, 'y': -1.1093515157699585, 'z': -0.5429460108280182}","{'x': -0.7217254546730081, 'y': 0.3540774933198429, 'z': -0.5690233573198605, 'w': 0.1730719954984359}","{'x': -0.008128657937049866, 'y': -1.1170388460159302, 'z': -0.5073570013046265}","{'x': -0.168903897010583, 'y': -0.31926105799601184, 'z': 0.8695590694258097, 'w': 0.3367653117546777}","[-0.2629977167864496, -1.1658216543014257, -0.5693545915772312]","[-0.04931350908382101, -1.1968639634352018, -0.45485215709937443]",1,1
xie_checked_process,lstshirt_white,341,1717608737402940113,1717608736863369224,"{'x': 0.07776227220892906, 'y': -1.1526308059692383, 'z': -0.8605357259511948}","{'x': 0.0028938646462718987, 'y': 0.5304494885190745, 'z': -0.8376941939720252, 'w': 0.12993614994611943}","{'x': 0.44994766637682915, 'y': -1.121249794960022, 'z': -0.3799288719892502}","{'x': 0.5476822991100816, 'y': 0.5122829522813345, 'z': -0.6581089308942418, 'w': 0.06710373402913695}","[0.06803376153163726, -1.2556726948838968, -0.8499185130918333]",,1,0
