name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
masterlh_nonexpert_checked_process,lsshirt_lightblue,53,1718902877183857413,1718902876711934293,"{'x': -0.26090820133686066, 'y': -0.44763755798339844, 'z': -0.6904351711273193}","{'x': 0.06304828240432073, 'y': 0.6584548638583977, 'z': -0.5215658559971211, 'w': 0.5389166579398658}","{'x': 0.19684693217277527, 'y': -0.725693941116333, 'z': -0.6269685924053192}","{'x': -0.39714587046721395, 'y': -0.7683817706507166, 'z': 0.25615078587118295, 'w': 0.4315685194729615}",,"[0.12838903706866545, -0.7313304495439304, -0.7284907395982363]",0,1,lsshirt
leo_expert_checked_process,lsshirt_darkblue_2,191,1718797195627765757,1718797195155461873,"{'x': -0.32317323610186577, 'y': -0.9763641953468323, 'z': -0.6285923272371292}","{'x': -0.5894510271497674, 'y': 0.5313649688638771, 'z': -0.4087885208007825, 'w': 0.4506558572989852}","{'x': -0.08859847858548164, 'y': -1.069986343383789, 'z': -0.5723834782838821}","{'x': 0.3707342414137054, 'y': -0.4166162927297375, 'z': 0.753375479290577, 'w': 0.3484427845130782}","[-0.23359071351205785, -0.9925705318465191, -0.6882775540835229]","[-0.07890161428918444, -1.1783499880712118, -0.5687377502527221]",1,1,lsshirt
masterlh_nonexpert_checked_process,lsshirt_bluedot,237,1718902964243537330,1718902963708649144,"{'x': 0.22985908016562462, 'y': -1.1363625526428223, 'z': -1.1064657866954803}","{'x': 0.31899974052574104, 'y': 0.277137679791161, 'z': -0.8454050503479975, 'w': 0.3266866584826838}","{'x': 0.2783750854432583, 'y': -1.1563688516616821, 'z': -0.5473042726516724}","{'x': 0.5021981854539309, 'y': 0.3479017184048127, 'z': -0.7912535509749968, 'w': 0.026061368483170182}","[0.20576892849141654, -1.2505828846026263, -1.069070862450259]","[0.22535661470020574, -1.2631008045376155, -0.5186279410285793]",1,1,lsshirt
sandra_2_nonexpert_checked_compress,lsshirt_darkblue_1,33,1719068434549724349,1719068433740655958,"{'x': -0.1272156909108162, 'y': -0.48970526456832886, 'z': -0.7264940738677979}","{'x': -0.15500504912335789, 'y': 0.7854507283119532, 'z': -0.5250835372107809, 'w': 0.2886656666295839}","{'x': 0.18897029757499695, 'y': -0.7412551045417786, 'z': -0.6761321425437927}","{'x': -0.38902645135580227, 'y': -0.8130323655831618, 'z': 0.25631616308129035, 'w': 0.34919739002897043}",,"[0.12794745749609027, -0.7653108921684237, -0.7796818024677439]",0,1,lsshirt
lipeng_checked_compress,lsshirt_grey_1,471,1719142270821200007,1719142270013706117,"{'x': -0.12784810364246368, 'y': -1.1671804189682007, 'z': -1.0540216714143753}","{'x': -0.5507209014296414, 'y': 0.1422612575340331, 'z': -0.8183238219775401, 'w': 0.08254905037267306}","{'x': 0.3253006637096405, 'y': -1.1749696731567383, 'z': -1.0279928594827652}","{'x': -0.6717725720064891, 'y': -0.25847605363491055, 'z': 0.6910094291620572, 'w': 0.06646585594301055}","[-0.04393297186263874, -1.2297724657738731, -1.0157400004078592]","[0.24229039015453482, -1.2491337074453648, -1.03382299690327]",1,1,lsshirt
lipeng_checked_compress,lsshirt_grey_6,346,1719143166657266428,1719143165982856931,"{'x': -0.12300466373562813, 'y': -0.9385989308357239, 'z': -0.5010058581829071}","{'x': -0.1623636342961082, 'y': 0.8142410432146071, 'z': -0.4973065802166813, 'w': 0.2516659275232496}","{'x': 0.28335869684815407, 'y': -1.16289222240448, 'z': -0.4397291839122772}","{'x': 0.6604102763283962, 'y': 0.5670738199557407, 'z': -0.48683795096914506, 'w': 0.0726247832135824}",,"[0.2665234277528518, -1.2568488225676644, -0.49729419933192487]",0,1,lsshirt
zhuo_2_nonexpert_checked_compress,lsshirt_bluedot_2,133,1719061418500310915,1719061417825491604,"{'x': 0.0988696739077568, 'y': -1.060211420059204, 'z': -0.7543538361787796}","{'x': -0.18964936229664972, 'y': 0.5079981171219204, 'z': -0.7896978492571911, 'w': 0.28696400342137773}","{'x': 0.2836557552218437, 'y': -1.1048330068588257, 'z': -0.2166113555431366}","{'x': 0.5356535150127536, 'y': 0.4371369060031326, 'z': -0.7171296651641755, 'w': 0.08781617508185821}","[0.13993813206018044, -1.1550452482509475, -0.7423152824665791]",,1,0,lsshirt
lipeng_checked_compress,lsshirt_lightblue_5,314,1719142091567999609,1719142090896782637,"{'x': -0.0669349916279316, 'y': -0.9546016454696655, 'z': -0.5768646597862244}","{'x': -0.18575726677528492, 'y': 0.8032254529168045, 'z': -0.5312143552266126, 'w': 0.19528035853086756}","{'x': 0.3941090442240238, 'y': -1.164320707321167, 'z': -0.5013740956783295}","{'x': 0.5607923209574167, 'y': 0.6389980445712128, 'z': -0.5176855047867499, 'w': 0.09589155292854537}",,"[0.3920726250623271, -1.2610076706796782, -0.5568040885838657]",0,1,lsshirt
zhuo_checked_process,lsshirt_lightblue,86,1717531956610231785,1717531955943614775,"{'x': -0.15780510380864143, 'y': -1.1167135834693909, 'z': -0.6814887523651123}","{'x': 0.05071180436858671, 'y': 0.5936106719125136, 'z': -0.7892498322753438, 'w': 0.14879309574909033}","{'x': -0.011424228549003601, 'y': -1.109480082988739, 'z': -0.48960167169570923}","{'x': -0.2897199937194851, 'y': -0.4649779182236264, 'z': 0.8120273902835102, 'w': 0.20117002319668786}","[-0.16829299138847467, -1.219932725041541, -0.6892870231491514]",,1,0,lsshirt
david_checked_compress,lsshirt_lightblue_1,191,1718884411535429735,1718884410863256061,"{'x': -0.32923929765820503, 'y': -1.1407849788665771, 'z': -0.5759908705949783}","{'x': 0.6174171630079106, 'y': -0.5078102661963996, 'z': 0.5810528378497264, 'w': 0.15265117096041056}","{'x': -0.09317686781287193, 'y': -1.132110595703125, 'z': -0.590281531214714}","{'x': -0.0021887721041309945, 'y': -0.5220378339021726, 'z': 0.8514487470541896, 'w': 0.050067358540814046}","[-0.3008610022312982, -1.2712978056466055, -0.6026568488172276]","[-0.07406157545309837, -1.2660789371466963, -0.5748838336966082]",1,1,lsshirt
