name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
lipeng_checked_compress,lstshirt_black_2,389,1719154666783251651,1719154666117444847,"{'x': -0.15936017781496048, 'y': -1.1686640977859497, 'z': -0.9150754660367966}","{'x': -0.7084530344733521, 'y': 0.3422312564830555, 'z': -0.6164711343921513, 'w': 0.030584399500114316}","{'x': 0.3295237049460411, 'y': -0.9965528845787048, 'z': -0.5569439977407455}","{'x': -0.305301878245574, 'y': -0.7538545225117204, 'z': 0.5812431222242116, 'w': 0.025505977640564986}","[-0.08992901039638448, -1.2513528932484372, -0.9427679938350416]",,1,0,lstshirt
lipeng_checked_compress,lstshirt_brown_1,202,1719153508817348148,1719153508122102312,"{'x': -0.14524579048156738, 'y': -1.0136860013008118, 'z': -0.5484485924243927}","{'x': -0.2911939362719166, 'y': 0.7216167874212526, 'z': -0.6191628434078469, 'w': 0.10541668242459437}","{'x': 0.38344238698482513, 'y': -1.0899888277053833, 'z': -0.7321350872516632}","{'x': 0.20778975003705283, 'y': 0.7779333356369028, 'z': -0.5778362642139288, 'w': 0.1332231092703957}",,"[0.4191959314185889, -1.1777519622597497, -0.7908233848382781]",0,1,lstshirt
masterlh_nonexpert_checked_process,lstshirt_whitehor_1,342,1718900534494183429,1718900534025012009,"{'x': -0.1314186155796051, 'y': -1.2004441022872925, 'z': -0.8545949310064316}","{'x': -0.22303188160008733, 'y': 0.25269819587339754, 'z': -0.9033623680428718, 'w': 0.2652109228448737}","{'x': -0.07173657417297363, 'y': -1.163851261138916, 'z': -0.6416668742895126}","{'x': -0.03530460421304825, 'y': 0.5224991900264357, 'z': -0.8499572874655551, 'w': 0.05762630325879253}","[-0.07865452446735302, -1.2883312533954163, -0.7873877932962466]","[-0.026036849760460515, -1.2771911667261955, -0.632148419053134]",1,1,lstshirt
masterlh_nonexpert_checked_process,lstshirt_whitehor_1,238,1718900527179252859,1718900526702992717,"{'x': -0.027232345193624496, 'y': -1.2977283000946045, 'z': -0.1576114296913147}","{'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 1.0}","{'x': 0.19273177161812782, 'y': -0.9635923504829407, 'z': -0.487942636013031}","{'x': -0.4291733396537588, 'y': -0.5946943496724572, 'z': 0.6637474574967089, 'w': 0.14692919269072174}","[0.0027676548063755024, -1.2527283000946046, -0.0476114296913147]",,1,0,lstshirt
lipeng_checked_compress,lstshirt_black_7r,544,1719175054498896829,1719175053687776961,"{'x': -0.14055319130420685, 'y': -1.192278265953064, 'z': -1.0154374241828918}","{'x': -0.5986287550920946, 'y': 0.04154911944469628, 'z': -0.7849262906657768, 'w': 0.15429842018609208}","{'x': 0.2517082989215851, 'y': -1.2051736116409302, 'z': -0.9855521321296692}","{'x': -0.6740026026965227, 'y': -0.10080193965181942, 'z': 0.7021805274432152, 'w': 0.20616005287230701}","[-0.041346898399503895, -1.228868696465114, -0.98016347000918]","[0.14611260018601901, -1.2403077849441573, -0.9792166546538686]",1,1,lstshirt
zhuo_checked_process,lstshirt_black,253,1717531479386771268,1717531478914863403,"{'x': -0.09533391520380974, 'y': -1.0661590099334717, 'z': -1.021934762597084}","{'x': -0.08253623296795529, 'y': 0.5662594177397653, 'z': -0.7872503357932282, 'w': 0.22972799320485704}","{'x': 0.20388326421380043, 'y': -1.0700334310531616, 'z': -0.965245857834816}","{'x': -0.24225711014406626, 'y': -0.6977495516353518, 'z': 0.647291823779529, 'w': 0.1883357391614309}","[-0.07664985294274662, -1.1685060871149922, -1.0209440003528547]","[0.17629910648503277, -1.1632946847536096, -1.0022114201951418]",1,1,lstshirt
doubi_nonexpert_checked_process,lstshirt_black,129,1719003985956551520,1719003985289079527,"{'x': 0.054419878870248795, 'y': -0.9644413590431213, 'z': -0.9275189787149429}","{'x': -0.054643204324618444, 'y': 0.24150743678590067, 'z': -0.9663438679722475, 'w': 0.06976967128113616}","{'x': 0.3370840437710285, 'y': -1.086014747619629, 'z': -0.38563670217990875}","{'x': -0.8214609689683948, 'y': -0.3955525031566196, 'z': 0.4002877172947844, 'w': 0.09224877826274495}","[0.05385364348697285, -1.0487472272633982, -0.8461728051041576]",,1,0,lstshirt
lipeng_checked_compress,lstshirt_brown_8r,429,1719175666765449538,1719175666016012067,"{'x': -0.03130093589425087, 'y': -1.160130262374878, 'z': -1.0325771272182465}","{'x': -0.5673519756453103, 'y': 0.35355431255438285, 'z': -0.735111194754211, 'w': 0.11279457058120053}","{'x': 0.2772274874150753, 'y': -1.1637428998947144, 'z': -0.994292825460434}","{'x': -0.6535240177931266, 'y': -0.4385848113509152, 'z': 0.6049598139207285, 'w': 0.1207201100099265}","[0.04288207163094407, -1.2432569220387268, -1.0360180351867208]","[0.2091239933181893, -1.2417920013829928, -1.035466261662284]",1,1,lstshirt
paul_checked_process,lstshirt_white,212,1718730131638779678,1718730131029223885,"{'x': -0.07838878408074379, 'y': -1.0781787633895874, 'z': -0.5829967558383942}","{'x': -0.13740633678802255, 'y': 0.5402802658173587, 'z': 0.11469589109153364, 'w': 0.8222296428282915}","{'x': 0.055891212075948715, 'y': -1.1051779985427856, 'z': -1.0609802305698395}","{'x': -0.0847267782613945, 'y': -0.5943027671360404, 'z': 0.7937303137027555, 'w': 0.09807029687532938}","[0.011631562670303214, -0.980581012842517, -0.5731979671901439]","[0.05271212437110198, -1.2359156512047775, -1.085931374387253]",1,1,lstshirt
doubi_nonexpert_checked_process,lstshirt_whitehor,110,1719004190733737682,1719004190058355895,"{'x': -0.11549429222941399, 'y': -0.9844850897789001, 'z': -0.6295552551746368}","{'x': -0.4366864704288102, 'y': 0.47333756122231596, 'z': -0.6878144807496726, 'w': 0.3349144961801392}","{'x': 0.3496099077165127, 'y': -1.1187443733215332, 'z': -0.5023159086704254}","{'x': 0.6467961916394062, 'y': 0.44159019064148736, 'z': -0.620235008400871, 'w': 0.04428684188274114}",,"[0.2907597580243988, -1.2168405083958906, -0.5275905632613237]",0,1,lstshirt
