name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
lipeng_checked_compress,napkin_pink30_2,280,1719056655445165532,1719056654769447368,"{'x': -0.2933635823428631, 'y': -1.0356706976890564, 'z': -0.4727729856967926}","{'x': -0.3135000083450304, 'y': 0.5512746332572771, 'z': -0.7551332924271801, 'w': 0.16609555732411227}","{'x': 0.18493454530835152, 'y': -1.155401349067688, 'z': -0.6085836589336395}","{'x': 0.38988164744285714, 'y': 0.19559001280674126, 'z': -0.8879244501305894, 'w': 0.14603773052808294}",,"[0.15301023995029273, -1.2390237031028828, -0.5421521857223826]",0,1,napkin
david_checked_compress,napkin_grey45_2,37,1718814905442539306,1718814904777954465,"{'x': -0.14497210457921028, 'y': -0.8349243998527527, 'z': -0.6885222047567368}","{'x': -0.4098760692391114, 'y': 0.3559253976839237, 'z': -0.5398621536684183, 'w': 0.6433254030311044}","{'x': 0.2654840610921383, 'y': -0.4110563397407532, 'z': -0.6433795839548111}","{'x': 0.19872323287800125, 'y': -0.9002745961132035, 'z': 0.37824098447580595, 'w': 0.08335757896254624}","[-0.009369083634317904, -0.84298313969943, -0.6786795718415733]",,1,0,napkin
lipeng_checked_compress,napkin_grey30_4,61,1719056115783868429,1719056115109090004,"{'x': 0.03341444954276085, 'y': -0.8708735108375549, 'z': -0.524173766374588}","{'x': -0.8120472407642865, 'y': 0.1361583942912512, 'z': -0.24750337605630235, 'w': 0.5106684337922892}","{'x': 0.19434476271271706, 'y': -0.5525490641593933, 'z': -0.618907243013382}","{'x': -0.20326897213895592, 'y': -0.7315727754365816, 'z': 0.5586724859380229, 'w': 0.33371852310205813}","[0.10575007404790997, -0.8240155109766608, -0.5948624166409958]",,1,0,napkin
xie_checked_process,napkin_grey45,115,1717606762407594087,1717606761795070544,"{'x': -0.1684480383992195, 'y': -1.1568092107772827, 'z': -0.8903477936983109}","{'x': -0.34201193446952655, 'y': 0.5641047184538023, 'z': -0.7180620612276689, 'w': 0.2218120364724156}","{'x': 0.38525714725255966, 'y': -1.047849416732788, 'z': -0.4427143484354019}","{'x': 0.3136120619224235, 'y': 0.7741475338136242, 'z': -0.5481837314525758, 'w': 0.042868019289206374}","[-0.12006192600925725, -1.248444617557646, -0.8996610290106648]",,1,0,napkin
david_nonexpert_checked_compress,napkin_pink30_4,62,1718816874254611639,1718816873578979144,"{'x': 0.006940901279449463, 'y': -1.152201533317566, 'z': -0.8833576887845993}","{'x': -0.23562496181507964, 'y': 0.5945831558136607, 'z': -0.7591108206998687, 'w': 0.12125390751923079}","{'x': 0.25937695801258087, 'y': -1.0902355909347534, 'z': -0.4452865570783615}","{'x': -0.5212002490964058, 'y': -0.45216248904448, 'z': 0.7055055717456755, 'w': 0.16174446537286066}","[0.039569633312572974, -1.2836853279954126, -0.8974068020315095]",,1,0,napkin
rory_checked_process,napkin_pink45,48,1717768186611247892,1717768186141578121,"{'x': 0.0009653978049755096, 'y': -0.48002851009368896, 'z': -0.7432033121585846}","{'x': 0.024894264256871104, 'y': 0.8609489332848801, 'z': -0.26008623458305863, 'w': 0.436465760928784}","{'x': 0.2870020158588886, 'y': -0.8111153244972229, 'z': -0.6133257448673248}","{'x': -0.3242367946245305, 'y': -0.6826541082960232, 'z': 0.5713468506106156, 'w': 0.3200260079048299}",,"[0.22361788448467182, -0.8886395369094684, -0.6796390043242166]",0,1,napkin
tai_nonexpert_checked_compress,napkin_red30,213,1718971997169093079,1718971996162178072,"{'x': -0.21655242517590523, 'y': -0.8591634631156921, 'z': -0.521615281701088}","{'x': -0.36920210916646684, 'y': 0.6431340071267078, 'z': -0.5793611739030471, 'w': 0.33824411545193117}","{'x': 0.08982313796877861, 'y': -1.1339690685272217, 'z': -0.8468707352876663}","{'x': -0.21326246074034222, 'y': -0.589610249362134, 'z': 0.7789507984212869, 'w': 0.010701884176906097}",,"[0.09081453655404433, -1.266735412258414, -0.8515734048588801]",0,1,napkin
leo_expert_checked_process,napkin_fleek45_1,44,1718799564548587510,1718799563937810265,"{'x': -0.057171955704689026, 'y': -0.8122972249984741, 'z': -0.651264488697052}","{'x': -0.3034914272191889, 'y': 0.6143845607822773, 'z': -0.542682232491475, 'w': 0.4857165424554704}","{'x': 0.32866576313972473, 'y': -0.6331154704093933, 'z': -0.7714614570140839}","{'x': -0.26416034663223487, 'y': -0.7422642392088458, 'z': 0.5057733418421216, 'w': 0.35136368215952996}",,"[0.2664075629912262, -0.6961161664197226, -0.8347451738493298]",0,1,napkin
david_nonexpert_checked_compress,napkin_pink30_3,178,1718816846275757773,1718816845607241000,"{'x': -0.21849055215716362, 'y': -1.1382640600204468, 'z': -0.4016641080379486}","{'x': -0.4930236012069259, 'y': 0.20754430286433662, 'z': -0.8346583838831354, 'w': 0.1311429495440115}","{'x': 0.4706311263144016, 'y': -1.1241756677627563, 'z': -0.690329447388649}","{'x': 0.27682649706405826, 'y': 0.5479174691606551, 'z': -0.7725808138612024, 'w': 0.1620877033133227}",,"[0.48811312038418203, -1.2584242371509324, -0.675439803317274]",0,1,napkin
zhuo_2_nonexpert_checked_compress,napkin_pink45_1,121,1719059430892882620,1719059430152025843,"{'x': -0.20177439600229263, 'y': -1.07289457321167, 'z': -0.29948998987674713}","{'x': 0.25484083275730324, 'y': -0.37688243776386876, 'z': 0.890005046503354, 'w': 0.03011304141547986}","{'x': 0.3636495992541313, 'y': -1.1445655822753906, 'z': -0.8317359983921051}","{'x': 0.14075299901460547, 'y': 0.6253446165336853, 'z': -0.7674720778263229, 'w': 0.01092307638347083}",,"[0.3790111643894454, -1.2473529062517885, -0.8366133282317314]",0,1,napkin
