name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
master_checked_process,pant_brown,178,1718875365655469010,1718875364981370221,"{'x': -0.48919105529785156, 'y': -1.1206692457199097, 'z': -0.37334707379341125}","{'x': 0.6620521619153101, 'y': -0.3304441752889614, 'z': 0.672676408279564, 'w': 0.00017794652999405825}","{'x': 0.26107919216156006, 'y': -1.0917599201202393, 'z': -0.47916245460510254}","{'x': 0.8513018182843763, 'y': 0.447057184015765, 'z': -0.26257344081415374, 'w': 0.08050016512172657}",,"[0.23560020235095605, -1.163220819554074, -0.5661576322320174]",0,1,pant
masterlh_nonexpert_checked_process,pant_bluejean,120,1718903515516581694,1718903514983762639,"{'x': -0.07811824604868889, 'y': -1.1048526763916016, 'z': -0.44031932950019836}","{'x': -0.17103292350710028, 'y': 0.649691460814336, 'z': -0.6675721937778796, 'w': 0.32093007169185267}","{'x': 0.4524418115615845, 'y': -1.0944092273712158, 'z': -0.7095683813095093}","{'x': -0.6423761983909645, 'y': -0.5468727997326867, 'z': 0.5364102269488328, 'w': 0.023388652761686474}","[-0.019911943919268316, -1.2054576702237427, -0.47925082842399314]","[0.40951694149743023, -1.1955055931236684, -0.7639924601866185]",1,1,pant
tai_nonexpert_checked_compress,pant_pink,56,1718975078027569304,1718975077015919640,"{'x': -0.10834068804979324, 'y': -0.7012760639190674, 'z': -0.7728236764669418}","{'x': -0.3457496148439663, 'y': 0.5748346392870484, 'z': -0.4927228521388104, 'w': 0.5542982340682441}","{'x': 0.18446333706378937, 'y': -0.5313875079154968, 'z': -0.7170470803976059}","{'x': -0.2193034187865358, 'y': -0.7719709672613807, 'z': 0.48337237355258794, 'w': 0.3497398814836577}","[0.010584809424075955, -0.7438958196123219, -0.8139367215407385]",,1,0,pant
sandra_2_nonexpert_checked_compress,pant_pink_1,79,1719071817541368973,1719071816878622619,"{'x': -0.23700536042451859, 'y': -1.151228666305542, 'z': -0.96244977414608}","{'x': -0.5297985163115985, 'y': 0.5681604122334414, 'z': -0.626824469749979, 'w': 0.059986350175791826}","{'x': 0.23160836845636368, 'y': -1.13289475440979, 'z': -0.5479111224412918}","{'x': 0.26245514800142616, 'y': 0.643176285198666, 'z': -0.7193029333192816, 'w': 0.006697131017899144}","[-0.18153316348985254, -1.2565629957215942, -0.9916476236167555]","[0.22546026261261778, -1.254721924526026, -0.5599668852128388]",1,1,pant
paul_checked_process,pant_brown,45,1718730439327352600,1718730438653258552,"{'x': -0.16959154605865479, 'y': -0.468311071395874, 'z': -0.8185247927904129}","{'x': 0.43141773130536526, 'y': 0.5616661586998539, 'z': 0.25838890807787873, 'w': 0.6569969858903492}","{'x': 0.21678222715854645, 'y': -0.6664634346961975, 'z': -0.8290003687143326}","{'x': -0.38956340540782697, 'y': -0.46060481430969347, 'z': 0.3558851569809486, 'w': 0.7137431703648277}",,"[0.09066131507585745, -0.6396308897465821, -0.8621444491353897]",0,1,pant
master_checked_process,pant_pink,186,1718875194672885262,1718875194071578219,"{'x': -0.32350901514291763, 'y': -1.1657394170761108, 'z': -0.600102961063385}","{'x': -0.7279458425687715, 'y': 0.15568687171342185, 'z': -0.6357750173667762, 'w': 0.2040749263265954}","{'x': 0.20330332964658737, 'y': -1.131779432296753, 'z': -0.46687161922454834}","{'x': 0.8805732516102748, 'y': 0.37662531380271563, 'z': 0.23303417686577468, 'w': 0.16863924206424943}",,"[0.2690234772973689, -1.1782774787332697, -0.5495928007341653]",0,1,pant
zhuo_2_nonexpert_checked_compress,pant_black_1,30,1719063674874749087,1719063674196811655,"{'x': -0.020881224423646927, 'y': -0.38985323905944824, 'z': -0.8053661733865738}","{'x': -0.16310841296990564, 'y': 0.7781134681153543, 'z': -0.29516631852884584, 'w': 0.5299168998645561}","{'x': 0.35325660929083824, 'y': -0.4462893009185791, 'z': -0.7734261900186539}","{'x': -0.46658666418473205, 'y': -0.5877649388345668, 'z': 0.2736674636040974, 'w': 0.6016106555291902}",,"[0.26360832529917044, -0.4374064332370319, -0.8254769329442011]",0,1,pant
david_checked_compress,pant_bluejean_2,82,1718889473038723340,1718889472286313652,"{'x': -0.30365490540862083, 'y': -1.1460818648338318, 'z': -0.9167934209108353}","{'x': 0.5109116216691335, 'y': -0.5134884285526102, 'z': 0.6884346942480802, 'w': 0.03683232739780888}","{'x': 0.07169880345463753, 'y': -1.1465291380882263, 'z': -0.501173809170723}","{'x': -0.193185477617354, 'y': -0.4860980090767371, 'z': 0.8426888733979744, 'w': 0.12752866133007104}","[-0.2606009362458607, -1.2745291976191018, -0.9308518148334067]","[0.0410666902354308, -1.2771298212081177, -0.47761250172942354]",1,1,pant
zhuo_2_nonexpert_checked_compress,pant_bluejean_1,77,1719063988933031566,1719063988193080658,"{'x': -0.26468584686517715, 'y': -1.0705605745315552, 'z': -0.8920718282461166}","{'x': -0.39327876355063796, 'y': 0.4715996312980509, 'z': -0.7830537548940889, 'w': 0.09875433583337975}","{'x': 0.28632981330156326, 'y': -1.0777499675750732, 'z': -0.47779224812984467}","{'x': 0.46336302413494007, 'y': 0.5922220452783463, 'z': -0.6586603082395283, 'w': 0.027098990768382902}","[-0.22394814559847248, -1.1651845380793584, -0.8775203603473539]","[0.2660006637162361, -1.1785558420855549, -0.49360051626125134]",1,1,pant
lipeng_checked_compress,pant_blackjean_2,46,1719173579892893794,1719173579090697103,"{'x': -0.042728882282972336, 'y': -0.7609968781471252, 'z': -0.739120364189148}","{'x': -0.3296905646249518, 'y': 0.3122871090997728, 'z': -0.5496924406017195, 'w': 0.701155556087743}","{'x': 0.18776114657521248, 'y': -0.6174126863479614, 'z': -0.6142278909683228}","{'x': 0.2627352574265856, 'y': -0.774251119781894, 'z': 0.555568619829456, 'w': 0.1511585150835454}","[0.06674332915571328, -0.7606086857225557, -0.7181278838839239]",,1,0,pant
zhuo_checked_process,pant_pink,157,1717532822584505568,1717532822101884471,"{'x': -0.06725200265645981, 'y': -1.0857954025268555, 'z': -0.8187443912029266}","{'x': -0.2457613744053463, 'y': 0.5272148963896371, 'z': -0.807321561239337, 'w': 0.09938660188042918}","{'x': 0.30499789863824844, 'y': -1.115624189376831, 'z': -0.16926094889640808}","{'x': 0.4663310579810668, 'y': 0.14886012897158366, 'z': -0.8703588285049134, 'w': 0.05339958809182965}","[-0.04834210316319171, -1.1873430155821494, -0.8062745081270186]",,1,0,pant
zhuo_2_nonexpert_checked_compress,pant_bluejean_2,146,1719064069775142723,1719064068830064223,"{'x': -0.23261087015271187, 'y': -1.0573874711990356, 'z': -1.0144580900669098}","{'x': -0.38343491606630603, 'y': 0.6308707525567783, 'z': -0.6738985619149563, 'w': 0.028991153109576936}","{'x': 0.23377979919314384, 'y': -1.0807360410690308, 'z': -0.26515594869852066}","{'x': 0.34520707398213485, 'y': 0.4844447055005664, 'z': -0.7936335816201029, 'w': 0.1276367561089272}","[-0.214510424773747, -1.1578083336054374, -1.0347810886310398]",,1,0,pant
paul_checked_process,pant_blackjean,187,1718730380526966173,1718730379915943068,"{'x': 0.04441029205918312, 'y': -1.1919306516647339, 'z': -0.4135105013847351}","{'x': -0.4468084605903221, 'y': 0.7816580088453834, 'z': -0.07966395011430792, 'w': 0.4278160957759329}","{'x': 0.2533330209553242, 'y': -1.165321707725525, 'z': -0.6245488822460175}","{'x': -0.2841238117671477, 'y': -0.16695805250937093, 'z': 0.9433942910755972, 'w': 0.03749506441061203}","[0.08464986284439738, -1.150005891112572, -0.5332940202663643]","[0.21676357963844406, -1.2605529940483773, -0.5389996095017903]",1,1,pant
florent_nonexpert_checked_process,pant_blackjean,219,1717776422983623950,1717776422172517915,"{'x': 0.10157541558146477, 'y': -1.1341423988342285, 'z': -0.6565905213356018}","{'x': 0.3683749740711898, 'y': 0.32566005272837284, 'z': -0.30315819882941347, 'w': 0.8162968302140524}","{'x': 0.7698959149420261, 'y': -1.1422146558761597, 'z': 1.4164238274097443}","{'x': -0.369089445976424, 'y': -0.5840339448233803, 'z': 0.7115410192360877, 'w': 0.12801058591900322}","[0.1777915688690847, -1.206605139806538, -0.6108712786820101]",,1,0,pant
