name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
david_checked_compress,ssshirt_blue_2,166,1718817941684561056,1718817941013161577,"{'x': 0.3326215520501137, 'y': -1.1724622249603271, 'z': -0.8592647612094879}","{'x': -0.012805606336600973, 'y': 0.5528966342016776, 'z': -0.7693368961612009, 'w': 0.31978440946965797}","{'x': 0.28396276384592056, 'y': -1.1653387546539307, 'z': -0.5237914025783539}","{'x': -0.5506357193492313, 'y': -0.416877089703225, 'z': 0.7221279881199937, 'w': 0.03930604827624076}","[0.37693676160449996, -1.3012494309601845, -0.8593980762541398]","[0.21027897806577553, -1.2798836318546167, -0.5242047065650974]",1,1,ssshirt
tai_nonexpert_checked_compress,ssshirt_white,83,1718973113372803264,1718973112367971774,"{'x': -0.04635423794388771, 'y': -0.8895949125289917, 'z': -0.5984358638525009}","{'x': -0.7971751358437184, 'y': 0.029198800278538734, 'z': -0.27699308658572824, 'w': 0.5356622656474455}","{'x': 0.09250745549798012, 'y': -0.3079160451889038, 'z': -0.7344957739114761}","{'x': -0.015865618975226637, 'y': -0.7676395314044272, 'z': 0.587845423535382, 'w': 0.25478538024822317}","[0.05122280433204633, -0.8201668010558429, -0.6559550620210481]",,1,0,ssshirt
leo_expert_checked_process,ssshirt_yellow_2,195,1718794925040722267,1718794924570359420,"{'x': 0.22062331065535545, 'y': -1.1247496604919434, 'z': -0.4568205624818802}","{'x': 0.15289259128154095, 'y': 0.3937503432469159, 'z': -0.8475595102613996, 'w': 0.3212902103855765}","{'x': 0.44011757895350456, 'y': -1.1367875337600708, 'z': -0.825606033205986}","{'x': -0.39431875473911027, 'y': -0.6332907429578232, 'z': 0.6646678101179402, 'w': 0.04089323584588855}","[0.22461398586610204, -1.2288464905800058, -0.42523061982635457]","[0.4152396038916059, -1.2384020162544995, -0.8556989444012987]",1,1,ssshirt
lipeng_checked_compress,ssshirt_yellow_4,151,1719140075704305137,1719140075037159702,"{'x': -0.07023634761571884, 'y': -0.2713003158569336, 'z': -0.6340589821338654}","{'x': -0.1415161927801373, 'y': 0.9198515231369603, 'z': -0.26584234882082786, 'w': 0.2513447595177875}","{'x': 0.232457734644413, 'y': -0.7475931644439697, 'z': -0.5659372210502625}","{'x': -0.5247021386454295, 'y': -0.6102070873929796, 'z': 0.1068592945627913, 'w': 0.5838801823677797}",,"[0.1685377279496248, -0.6954703995517315, -0.6409202199508579]",0,1,ssshirt
david_checked_compress,ssshirt_yellow_3r,47,1718818665749152911,1718818665091080158,"{'x': -0.1547713615000248, 'y': -0.48033976554870605, 'z': -0.7409538179636002}","{'x': -0.11765760859177454, 'y': 0.7590220423847519, 'z': -0.4480501482444069, 'w': 0.45748583690941697}","{'x': 0.2607181929051876, 'y': -0.606804609298706, 'z': -0.730808213353157}","{'x': -0.2867391106135114, 'y': -0.7507906858583636, 'z': 0.4333514834081397, 'w': 0.407799608019509}",,"[0.17166970501112944, -0.6617319008629056, -0.8180054578348676]",0,1,ssshirt
leo2_nonexpert_checked_compress,ssshirt_bluebl_1,55,1719085751246894293,1719085750572022534,"{'x': -0.09750708192586899, 'y': -0.5182055234909058, 'z': -0.7343733906745911}","{'x': -0.2697724113472457, 'y': 0.5034115288634256, 'z': -0.5191995217760421, 'w': 0.6357920534819621}","{'x': 0.3317658454179764, 'y': -0.56782066822052, 'z': -0.6768335700035095}","{'x': -0.3429416993407048, 'y': -0.7961502987260047, 'z': 0.20949787263768838, 'w': 0.45237852960997815}",,"[0.2667299624463498, -0.5648462942020193, -0.7640774066070138]",0,1,ssshirt
lipeng_nonexpert_checked_compress,ssshirt_white_7,236,1719223695874958024,1719223695202665917,"{'x': -0.2177252620458603, 'y': -1.1263428926467896, 'z': -0.7904480695724487}","{'x': 0.04098318724632728, 'y': -0.7667348077716116, 'z': 0.6278387807773119, 'w': 0.1275012873135822}","{'x': 0.23615603148937225, 'y': -1.0080810189247131, 'z': -0.5121809542179108}","{'x': -0.5491821286009996, 'y': -0.6739020355434674, 'z': 0.4729648116883189, 'w': 0.14338522594841982}","[-0.2614461961981738, -1.2123475672538448, -0.8462752660145378]",,1,0,ssshirt
xie_checked_process,ssshirt_blue,147,1717607539960305481,1717607539425606954,"{'x': -0.20618302002549171, 'y': -0.9669736623764038, 'z': -0.7313255220651627}","{'x': -0.0059589820544233025, 'y': 0.8310726446235576, 'z': -0.5176402936342107, 'w': 0.2033009500655845}","{'x': 0.1980406753718853, 'y': -1.1608165502548218, 'z': -0.9923520237207413}","{'x': -0.10927314784335534, 'y': -0.49821232310312374, 'z': 0.8532255583315685, 'w': 0.10885773687880897}",,"[0.19628780661365614, -1.2625584340332092, -0.9706606305810302]",0,1,ssshirt
leo_checked_process,ssshirt_pink,284,1717764694612471619,1717764694142335399,"{'x': -0.06714941933751106, 'y': -1.1688709259033203, 'z': -1.0543897300958633}","{'x': -0.41155303899307805, 'y': 0.3870195991046864, 'z': -0.7707887579727974, 'w': 0.29449043547653975}","{'x': 0.2712841145694256, 'y': -1.1675020456314087, 'z': -1.0664662271738052}","{'x': -0.2333972882996682, 'y': -0.42185804544924105, 'z': 0.8622013950368913, 'w': 0.1554678413709609}","[0.0116341696342179, -1.242051145779754, -1.0374250159052116]","[0.23649683731289123, -1.2654660536351034, -1.034172288471178]",1,1,ssshirt
zhuo_2_nonexpert_checked_compress,ssshirt_pink_1,73,1719059699827840368,1719059699093008026,"{'x': -0.24528738856315613, 'y': -1.0472687482833862, 'z': -0.9365663230419159}","{'x': -0.209267460193162, 'y': 0.6809691890461128, 'z': -0.6885997932477051, 'w': 0.13534555187888758}","{'x': 0.28638552129268646, 'y': -1.1091850996017456, 'z': -0.3117276430130005}","{'x': 0.19486012522296314, 'y': 0.35661828011814556, 'z': -0.9057337589524066, 'w': 0.12041300501860577}","[-0.22962819838182583, -1.1462011640449756, -0.9647117822572309]",,1,0,ssshirt
