name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
zhuo_2_nonexpert_checked_compress,sstshirt_greyad_2,123,1719060871255937367,1719060870577968166,"{'x': -0.18556469678878784, 'y': -1.1183736324310303, 'z': -1.0054097175598145}","{'x': -0.04590460553219875, 'y': 0.6304371427627842, 'z': -0.7507452788453814, 'w': 0.1918939876791363}","{'x': 0.22270837426185608, 'y': -1.0899606943130493, 'z': -0.2595241516828537}","{'x': 0.2886043474764129, 'y': 0.2937290498689231, 'z': -0.8930315080751721, 'w': 0.18145385492129237}","[-0.17678789744814022, -1.2209502724791188, -1.0204430375450635]",,1,0,sstshirt
leo2_nonexpert_checked_compress,sstshirt_whitenf_2,201,1719084784404030866,1719084783665225424,"{'x': -0.24156749621033669, 'y': -1.1272523403167725, 'z': -0.9351366460323334}","{'x': 0.46286578252581284, 'y': -0.4811934088744148, 'z': 0.7290336605369669, 'w': 0.15072522160095728}","{'x': 0.3343081437051296, 'y': -1.0587899684906006, 'z': -0.5450194180011749}","{'x': -0.5390048825528517, 'y': -0.615710247014577, 'z': 0.5528322342153075, 'w': 0.15732497931970824}","[-0.22501882510489896, -1.234210335248246, -0.9234692210858041]",,1,0,sstshirt
liufan_checked_compress,sstshirt_green,336,1717593348783680906,1717593348048667085,"{'x': -0.053326867520809174, 'y': -1.1501833200454712, 'z': -1.0107793509960175}","{'x': -0.20203462797027147, 'y': 0.5656786092359384, 'z': -0.789443924749749, 'w': 0.12636459088495156}","{'x': 0.2942720428109169, 'y': -1.1697642803192139, 'z': -1.0011739432811737}","{'x': -0.38219071026636725, 'y': -0.5567396410497397, 'z': 0.7344472905351187, 'w': 0.06751600177379906}","[-0.03488666904656676, -1.2603574653628897, -1.015428736310972]","[0.26463230253931114, -1.2769633314973237, -1.0125690836113643]",1,1,sstshirt
david_nonexpert_checked_compress,sstshirt_green_3,39,1718888208437863357,1718888207610560025,"{'x': -0.21529821306467056, 'y': -0.534078061580658, 'z': -0.7151575684547424}","{'x': -0.1414313773491664, 'y': 0.8191984104408712, 'z': -0.3539491492706445, 'w': 0.4285220292620378}","{'x': 0.24043556302785873, 'y': -0.5986856818199158, 'z': -0.6469796895980835}","{'x': -0.36187530532389195, 'y': -0.7505162320116203, 'z': 0.44662250274517357, 'w': 0.32603679075444386}",,"[0.1659589630184704, -0.6627596806681768, -0.7413076214244234]",0,1,sstshirt
tai_nonexpert_checked_compress,sstshirt_greyad,58,1718972692295723468,1718972691135671821,"{'x': -0.16357121244072914, 'y': -0.8320255875587463, 'z': -0.7228802740573883}","{'x': -0.4109763688209468, 'y': 0.544321202536206, 'z': -0.5064227619586499, 'w': 0.527587754701017}","{'x': 0.12649701163172722, 'y': -0.4056825041770935, 'z': -0.6833244264125824}","{'x': -0.008101827883811093, 'y': -0.8928831401514238, 'z': 0.35457126796753796, 'w': 0.2774405780526099}","[-0.04447734938882299, -0.8737898138719001, -0.7643820955094341]",,1,0,sstshirt
zhuo_checked_process,sstshirt_grey,208,1717520032278292803,1717520031811494063,"{'x': 0.16860177740454674, 'y': -1.1724827289581299, 'z': -0.5589924603700638}","{'x': 0.18001499600329957, 'y': 0.4989756357847087, 'z': -0.8220340420766724, 'w': 0.20706991518389456}","{'x': 0.3284909091889858, 'y': -1.1613813638687134, 'z': -0.9459119290113449}","{'x': 0.06849817081953709, 'y': 0.6314854866035982, 'z': -0.7660058811196349, 'w': 0.09883861033789415}","[0.15023670898385846, -1.2748107994625042, -0.5549070902821456]","[0.36665081621059564, -1.2581149165764605, -0.9492944246343445]",1,1,sstshirt
ge_checked_process,sstshirt_black,168,1717663647475577895,1717663646872488375,"{'x': -0.21378406137228012, 'y': -1.1121007204055786, 'z': -0.9436875879764557}","{'x': -0.4511996504255557, 'y': 0.5098111362530229, 'z': -0.7322582621617841, 'w': 0.01758744734354277}","{'x': -0.04564901441335678, 'y': -1.142719030380249, 'z': -0.5395337641239166}","{'x': -0.13918377859830217, 'y': -0.6491937622191726, 'z': 0.709213248792728, 'w': 0.23704831281339964}","[-0.18702347157730026, -1.20776638222058, -0.9446632843034903]","[-0.07008391823079944, -1.2350189645964331, -0.5669683703561993]",1,1,sstshirt
tai_nonexpert_checked_compress,sstshirt_black,539,1718972464616930409,1718972463541049943,"{'x': -0.3059013895690441, 'y': -1.0230234861373901, 'z': -0.7732217162847519}","{'x': -0.024137533045409786, 'y': 0.6837586149591779, 'z': -0.6754038175681079, 'w': 0.27517488835650405}","{'x': -0.03404084965586662, 'y': -1.1440455913543701, 'z': -0.9641363471746445}","{'x': -0.21799339852377603, 'y': -0.6119910901849247, 'z': 0.7551384920952329, 'w': 0.0878159523689144}",,"[-0.04927429882934406, -1.2749429262291248, -0.9809835946936134]",0,1,sstshirt
doubi_nonexpert_checked_process,sstshirt_green,94,1719003402420813318,1719003401813325397,"{'x': -0.1627696044743061, 'y': -1.1028096675872803, 'z': -0.6864805519580841}","{'x': -0.42937990796589387, 'y': 0.5702298509465614, 'z': -0.6334487401024306, 'w': 0.29868629929627877}","{'x': 0.28892993554472923, 'y': -1.1356109380722046, 'z': -0.7127102315425873}","{'x': 0.7281918918597339, 'y': 0.5264216449713609, 'z': -0.4378249885716565, 'w': 0.030431886527407973}",,"[0.24883240862437553, -1.2215291908569048, -0.7815233274858442]",0,1,sstshirt
lipeng_nonexpert_checked_compress,sstshirt_black_7,230,1719177327362887739,1719177326623994098,"{'x': -0.11435610800981522, 'y': -1.0351611971855164, 'z': -0.665876641869545}","{'x': -0.15178349988187598, 'y': 0.7677050235673495, 'z': -0.586571458545899, 'w': 0.20862571742812694}","{'x': 0.41087767481803894, 'y': -1.1724294424057007, 'z': -0.88835109770298}","{'x': 0.660834046309228, 'y': 0.5236352184145051, 'z': -0.53579643342027, 'w': 0.045018920563302284}",,"[0.3805428608130114, -1.2675085770393948, -0.9379974189824892]",0,1,sstshirt
david_nonexpert_checked_compress,sstshirt_whitenf_4,257,1718888767581232017,1718888766906650337,"{'x': 0.05006444454193115, 'y': -1.142571210861206, 'z': -0.6587611734867096}","{'x': -0.6108652562405819, 'y': 0.2799086240058948, 'z': -0.7045718089628858, 'w': 0.228195895975413}","{'x': 0.37054838240146637, 'y': -1.1301108598709106, 'z': -0.6023003160953522}","{'x': 0.7655629964945692, 'y': 0.2904937019424597, 'z': -0.573996043322256, 'w': 0.007433019602859167}","[0.1682277924731326, -1.2101939186214212, -0.6549411471953912]","[0.2764613416870912, -1.223706746588619, -0.6329179378047107]",1,1,sstshirt
arif_checked_process,sstshirt_greyad,181,1717601945908154084,1717601944969425287,"{'x': -0.25368374586105347, 'y': -1.1428813934326172, 'z': -1.0782656967639923}","{'x': -0.17993785169380908, 'y': 0.5217592893458042, 'z': -0.8334397853967308, 'w': 0.027708078732193234}","{'x': 0.27458855509757996, 'y': -1.0600626468658447, 'z': -0.37373384833335876}","{'x': -0.5309795995774301, 'y': -0.2966145954461412, 'z': 0.7936934509183419, 'w': 0.011452186264973607}","[-0.24812490584828892, -1.2623899195982677, -1.051585901573127]",,1,0,sstshirt
