name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
lipeng_checked_compress,sweater_black_3,258,1719156289314295548,1719156288634747683,"{'x': -0.21430939808487892, 'y': -1.1519851684570312, 'z': -0.5288644134998322}","{'x': 0.7069952544644232, 'y': -0.30904898685308696, 'z': 0.6107612364128072, 'w': 0.17781210865788896}","{'x': 0.3014494441449642, 'y': -0.8511947989463806, 'z': -0.46411117911338806}","{'x': 0.23891109334403543, 'y': 0.928784019571076, 'z': -0.2833242749187307, 'w': 0.0030149143152413253}","[-0.16711921384647715, -1.2528329190703613, -0.5341386629987915]",,1,0,sweater
sandra_2_nonexpert_checked_compress,sweater_whiteyel_2,139,1719071380900716221,1719071380092425091,"{'x': -0.14777643606066704, 'y': -1.132483422756195, 'z': -0.648727610707283}","{'x': 0.14501725782673902, 'y': 0.45225632783022396, 'z': -0.7505480010992175, 'w': 0.4594691577417391}","{'x': 0.07785005494952202, 'y': -1.1231282353401184, 'z': -0.5438905209302902}","{'x': -0.040011233451125026, 'y': -0.6330957014491669, 'z': 0.7608134930434249, 'w': 0.13693707608741043}","[-0.11646185667696718, -1.247697021536573, -0.6209747050198413]","[0.07495660421602207, -1.2452487985137397, -0.5540490637889074]",1,1,sweater
lipeng_checked_compress,sweater_ricewhite_3,375,1719156950747633219,1719156950080709779,"{'x': -0.18487128242850304, 'y': -0.9532814621925354, 'z': -0.5341790169477463}","{'x': -0.1545110134031022, 'y': 0.7776234305747193, 'z': -0.5974948733750276, 'w': 0.12011670678515501}","{'x': 0.12428439036011696, 'y': -0.942809522151947, 'z': -0.6467732042074203}","{'x': -0.007976246467927916, 'y': -0.7786731135757591, 'z': 0.43939894448174394, 'w': 0.447809255459113}",,"[0.04867012177020423, -0.9910260504705488, -0.7129747810958451]",0,1,sweater
david_checked_compress,sweater_blue_2,367,1718885317265157341,1718885316582691401,"{'x': -0.2282322570681572, 'y': -1.1265002489089966, 'z': -0.5827900618314743}","{'x': 0.5743900046941512, 'y': -0.44658883917728903, 'z': 0.6800881375206241, 'w': 0.09008138783046749}","{'x': 0.19606713205575943, 'y': -1.0053045153617859, 'z': -0.5245743840932846}","{'x': -0.34765929317214006, 'y': -0.36650557808579853, 'z': 0.85938391247376, 'w': 0.07915786811388573}","[-0.17894847389610802, -1.253400764707475, -0.5869575318470354]",,1,0,sweater
liufan_checked_compress,sweater_ricewhite,307,1717596709855509759,1717596708971603489,"{'x': -0.09196513518691063, 'y': -1.1784467697143555, 'z': -1.0038179606199265}","{'x': -0.5035872891538632, 'y': 0.5251084885447435, 'z': -0.6046610089593422, 'w': 0.32410797846580197}","{'x': 0.3360683508217335, 'y': -1.1416698694229126, 'z': -1.0095804184675217}","{'x': -0.5044106982170719, 'y': -0.5359278844854956, 'z': 0.6373837456167706, 'w': 0.2282391530360279}","[-0.010985077244452232, -1.2464679762959003, -1.0400856552092834]","[0.2689005202659477, -1.2247662362051384, -1.0424966206485606]",1,1,sweater
zhuo_2_nonexpert_checked_compress,sweater_ricewhite_2,236,1719063487370357746,1719063486435317024,"{'x': -0.20973100885748863, 'y': -1.072451889514923, 'z': -0.9602854996919632}","{'x': -0.32968298549634634, 'y': 0.6227568351912418, 'z': -0.7042224862202928, 'w': 0.0869122730028043}","{'x': 0.2194165475666523, 'y': -1.0698731541633606, 'z': -0.259449802339077}","{'x': 0.33527268563534823, 'y': 0.3349474134022728, 'z': -0.8715955375244657, 'w': 0.12539408075912378}","[-0.18700661443205036, -1.172602290093191, -0.9769737938531283]",,1,0,sweater
lipeng_checked_compress,sweater_blue_3,156,1719158487789737311,1719158487056439037,"{'x': -0.22696293890476227, 'y': -1.154855728149414, 'z': -0.5322135984897614}","{'x': 0.6534924558327746, 'y': -0.365161383571948, 'z': 0.6479846711797944, 'w': 0.14043019630223233}","{'x': 0.2980549484491348, 'y': -0.8512353301048279, 'z': -0.4181985557079315}","{'x': 0.306694123284649, 'y': 0.8804571413292019, 'z': -0.3559677059629459, 'w': 0.0634107982645531}","[-0.184323749994385, -1.2576631696749592, -0.5383397339793484]",,1,0,sweater
zhuo_2_nonexpert_checked_compress,sweater_whitesnow_1,149,1719062812983690569,1719062812041794249,"{'x': 0.17392072826623917, 'y': -1.094658613204956, 'z': -0.6178228408098221}","{'x': -0.5054436599306079, 'y': 0.18866106006277786, 'z': -0.8056767087001687, 'w': 0.24457872374759915}","{'x': 0.47610580176115036, 'y': -0.8155205249786377, 'z': -0.8046593517065048}","{'x': 0.23763534679692458, 'y': 0.8401021426831385, 'z': -0.48497951378274534, 'w': 0.05052428151846247}","[0.2550795481385182, -1.1418704641796422, -0.5729977687576435]","[0.5021803620479827, -0.8932224994718474, -0.868749292147302]",1,1,sweater
lipeng_nonexpert_checked_compress,sweater_blue_7,98,1719226229293460576,1719226228628466812,"{'x': -0.30252721533179283, 'y': -0.5767912268638611, 'z': -0.6103716492652893}","{'x': -0.2990216332997236, 'y': 0.7179359278061845, 'z': -0.4222511848359116, 'w': 0.46568015127177953}","{'x': 0.11495617404580116, 'y': -0.6316481828689575, 'z': -0.4682847261428833}","{'x': -0.49130456688113444, 'y': -0.7131075855522628, 'z': 0.2936775407297879, 'w': 0.40478499979676463}",,"[0.05299176445862088, -0.6370139473201037, -0.5607867289123746]",0,1,sweater
leo_checked_process,sweater_black,157,1717764440630951421,1717764440163213480,"{'x': -0.21272027865052223, 'y': -1.129255473613739, 'z': -0.49270200729370117}","{'x': -0.49674570805143037, 'y': 0.5247284055439071, 'z': -0.690968737405081, 'w': 0.02158716926001061}","{'x': 0.3407295159995556, 'y': -0.9993792772293091, 'z': -0.40968355536460876}","{'x': -0.42477584828669307, 'y': -0.5860303074134428, 'z': 0.654149448809537, 'w': 0.21959612047439536}","[-0.17164836900949373, -1.2290972103892375, -0.506656427241921]",,1,0,sweater
