name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
liufan_checked_compress,towel_pink,269,1717591699635469532,1717591698988828605,"{'x': -0.30742278322577477, 'y': -1.0437042713165283, 'z': -0.5371638536453247}","{'x': -0.42317718848202696, 'y': 0.5618155175899411, 'z': -0.6921253586553395, 'w': 0.1620088863297664}","{'x': 0.4413168169558048, 'y': -1.1543314456939697, 'z': -0.5713260173797607}","{'x': 0.6643609049657493, 'y': 0.5230484911870167, 'z': -0.5145600259254125, 'w': 0.14238273610137858}",,"[0.4238024184478377, -1.2600236242727807, -0.603301151971641]",0,1,towel
sandra_2_nonexpert_checked_compress,towel_blue_2,133,1719066046902040820,1719066046161831002,"{'x': -0.20333151891827583, 'y': -1.115042269229889, 'z': -0.6400224715471268}","{'x': -0.6557759207453766, 'y': 0.31855731497592576, 'z': -0.684409368862624, 'w': 0.007936917471348115}","{'x': 0.3216225616633892, 'y': -1.072730839252472, 'z': -0.46193648874759674}","{'x': 0.23175086603342354, 'y': 0.5648485534379307, 'z': -0.7916872164083617, 'w': 0.021656388143343783}","[-0.11592348685179944, -1.2007581402589356, -0.6338885181728603]",,1,0,towel
sandra_2_nonexpert_checked_compress,towel_pink_1,78,1719066096460036547,1719066095716692502,"{'x': -0.28829051926732063, 'y': -1.148223102092743, 'z': -0.6249589025974274}","{'x': 0.6682493808247901, 'y': -0.4840160277932943, 'z': 0.5592654164825742, 'w': 0.07995901320713254}","{'x': -0.2323736436665058, 'y': -1.1259111762046814, 'z': -0.9337227642536163}","{'x': 0.5304555387073755, 'y': -0.5836986908275401, 'z': 0.5435610052215193, 'w': 0.28714838217105676}","[-0.23614689724951768, -1.2550556874391403, -0.6548393542517983]","[-0.2243792454343331, -1.2293159807715686, -0.999056798182261]",1,1,towel
david_nonexpert_checked_compress,towel_red_5,61,1718815961501232804,1718815960770772367,"{'x': -0.006202060729265213, 'y': -0.6258072853088379, 'z': -0.6198080033063889}","{'x': -0.17621527177490157, 'y': 0.8239622440116727, 'z': -0.14672392014401683, 'w': 0.5181761184135356}","{'x': 0.16933442279696465, 'y': -0.242781400680542, 'z': -0.7030114680528641}","{'x': 0.00796900393511512, 'y': -0.7486168878355908, 'z': 0.6495788623252414, 'w': 0.1325011390286197}","[0.08874964522832528, -0.606208981046662, -0.7154640538509857]",,1,0,towel
ge_checked_process,towel_blue,72,1717662446055957653,1717662445450356223,"{'x': -0.12777823209762573, 'y': -0.5165508985519409, 'z': -0.7821017354726791}","{'x': -0.23333097624155866, 'y': 0.6589730171893624, 'z': -0.5145997344683879, 'w': 0.49648598311289127}","{'x': 0.3225198835134506, 'y': -0.6794401407241821, 'z': -0.7462782710790634}","{'x': -0.2975370591486701, 'y': -0.648843462956231, 'z': 0.5095699307377044, 'w': 0.4804293337215142}",,"[0.2481886997482204, -0.7281181303045208, -0.7907116870008223]",0,1,towel
sandra_2_nonexpert_checked_compress,towel_pink_2,87,1719066140500304817,1719066139767098301,"{'x': -0.09380839392542839, 'y': -1.1228110790252686, 'z': -1.101320743560791}","{'x': -0.13370395654435588, 'y': 0.5961594100476868, 'z': -0.763046635537585, 'w': 0.2108958079496863}","{'x': 0.2446627952158451, 'y': -1.1030335426330566, 'z': -1.0463362336158752}","{'x': 0.1341642180663875, 'y': 0.685111227345088, 'z': -0.7152468718526094, 'w': 0.0323184322237169}","[-0.0628118274769672, -1.2413969869709673, -1.1025837974394377]","[0.263443780487415, -1.2226390524787225, -1.0654881684211999]",1,1,towel
david_checked_compress,towel_red_3r,75,1718815897771004044,1718815896963308049,"{'x': -0.1528361551463604, 'y': -0.3350713849067688, 'z': -0.7301986664533615}","{'x': 0.03192459586297694, 'y': 0.9178365733983811, 'z': -0.24986710592512537, 'w': 0.3067951663372581}","{'x': 0.19547990337014198, 'y': -0.445489764213562, 'z': -0.6327438801527023}","{'x': -0.2092905742612451, 'y': -0.9071059542045983, 'z': 0.11600399023214136, 'w': 0.3462648085240323}",,"[0.1445346952198451, -0.4276336134731313, -0.7577868473570115]",0,1,towel
masterlh_nonexpert_checked_process,towel_pink,245,1718899350740952456,1718899350273533504,"{'x': -0.22214150428771973, 'y': -1.1832901239395142, 'z': -0.7723468542098999}","{'x': -0.38315156595621214, 'y': 0.2844828924975484, 'z': -0.8408066042891378, 'w': 0.2555555038837943}","{'x': -0.16776885092258453, 'y': -1.1470638513565063, 'z': -0.6274207830429077}","{'x': -0.2573995896043077, 'y': 0.4398303892095025, 'z': -0.8383307779191344, 'w': 0.1936393214015441}","[-0.1430174800045304, -1.2656422640878953, -0.7278214255851843]","[-0.07336296695650298, -1.2248996147584563, -0.6200639489263591]",1,1,towel
master_checked_process,towel_pink,162,1718873297675955058,1718873297080795619,"{'x': 0.09627929702401161, 'y': -1.0700276494026184, 'z': -1.0156334787607193}","{'x': 0.5449927020787346, 'y': 0.31340954263204934, 'z': -0.7700578611095008, 'w': 0.10848181327554467}","{'x': 0.10522732511162758, 'y': -1.1801945567131042, 'z': -0.750849261879921}","{'x': 0.8342194147816474, 'y': 0.26784165485200423, 'z': -0.4817801002092331, 'w': 0.015058252550903102}","[0.01980729140840727, -1.1563887089255738, -1.0198524543709282]","[0.024474618511158175, -1.2448118109555855, -0.8021094884777527]",1,1,towel
leo2_nonexpert_checked_compress,towel_red_1,108,1719074862278777201,1719074861537123975,"{'x': -0.27088281139731407, 'y': -0.9992396831512451, 'z': -0.7817452549934387}","{'x': -0.24057858703776036, 'y': 0.6721331313977613, 'z': -0.6957181098412264, 'w': 0.07959465293162442}","{'x': 0.34658801928162575, 'y': -1.0520895719528198, 'z': -0.689353883266449}","{'x': -0.363173961178301, 'y': -0.5707066232311652, 'z': 0.7016112563389193, 'w': 0.2239202293243423}","[-0.2559403043288993, -1.1027199038415272, -0.8120530990012348]",,1,0,towel
xie_checked_process,towel_pink,218,1717606203698444820,1717606203088375040,"{'x': -0.26293760538101196, 'y': -1.1569063663482666, 'z': -0.7000649869441986}","{'x': 0.5614449653526215, 'y': -0.5121687337487573, 'z': 0.6467388695146897, 'w': 0.06474236409994229}","{'x': 0.31818145513534546, 'y': -0.9878504872322083, 'z': -0.5402104258537292}","{'x': -0.36253639482442107, 'y': -0.7696818189918548, 'z': 0.5073854998676645, 'w': 0.13681087115116727}","[-0.23084808079806593, -1.2554987058568492, -0.7087144379247448]",,1,0,towel
david_nonexpert_checked_compress,towel_red_4,60,1718815929572230040,1718815928558239740,"{'x': -0.09199404716491699, 'y': -0.3055875897407532, 'z': -0.7022854089736938}","{'x': 0.03513208194352281, 'y': 0.8934864289107528, 'z': -0.37528547705846593, 'w': 0.244148620474545}","{'x': 0.17026271671056747, 'y': -0.825381338596344, 'z': -0.6176156103610992}","{'x': -0.38276004918502515, 'y': -0.6972258607227274, 'z': 0.5229241323286422, 'w': 0.3064656517713948}",,"[0.09197464131359691, -0.905628344369044, -0.6949550913210495]",0,1,towel
gerardo_checked_process,towel_red,41,1717667038738292242,1717667038062192724,"{'x': -0.10721798241138458, 'y': -0.3953375816345215, 'z': -0.7685485482215881}","{'x': 0.12679971081846636, 'y': 0.7840884097361656, 'z': -0.45994928268277574, 'w': 0.39695573608825}","{'x': 0.25783465802669525, 'y': -0.9664336442947388, 'z': -0.7428603172302246}","{'x': -0.7423451557358889, 'y': -0.2245341133407625, 'z': 0.2820104411682953, 'w': 0.564781561998796}",,"[0.16204616247221942, -0.9142141054888979, -0.7843655444469915]",0,1,towel
lipeng_checked_compress,towel_pink_4,42,1719055233412772333,1719055232666945612,"{'x': -0.16931917145848274, 'y': -0.45655375719070435, 'z': -0.624048501253128}","{'x': -0.07775361479546723, 'y': 0.8463046905532509, 'z': -0.3705660833004398, 'w': 0.37470458235945797}","{'x': 0.20642304047942162, 'y': -0.8522953987121582, 'z': -0.577056497335434}","{'x': -0.4826714183020687, 'y': -0.6676313429279201, 'z': 0.42295319038522233, 'w': 0.37736890523398076}",,"[0.1348270825098222, -0.8836834599900304, -0.6565159738730496]",0,1,towel
lipeng_checked_compress,towel_pink_3,91,1719055193418985226,1719055192680654624,"{'x': 0.04075855389237404, 'y': -0.9259210228919983, 'z': -0.6174160242080688}","{'x': -0.42175347290887366, 'y': 0.5750476634702171, 'z': -0.6277329446649309, 'w': 0.3120825900447552}","{'x': 0.29682735726237297, 'y': -0.3294275403022766, 'z': -0.6354870498180389}","{'x': -0.06130567492062582, 'y': 0.9027767133502717, 'z': -0.42552907282845287, 'w': 0.01268180715691568}","[0.11641545369287527, -0.9958024449283356, -0.6600495833693238]",,1,0,towel
leo2_nonexpert_checked_compress,towel_pink_2,162,1719074980420881901,1719074979754392296,"{'x': -0.15561937913298607, 'y': -1.1277620792388916, 'z': -0.46223318576812744}","{'x': 0.6992721670407864, 'y': -0.14833510782443057, 'z': 0.699155780684661, 'w': 0.014011656719290597}","{'x': 0.263781551271677, 'y': -1.1380919218063354, 'z': -0.5382383465766907}","{'x': -0.5350496715032205, 'y': -0.2503605120757507, 'z': 0.7923557420732198, 'w': 0.15236089072022696}","[-0.06674273919347062, -1.1886060810968708, -0.4464550264658527]","[0.18181417546361495, -1.2031840816933999, -0.5083324938990499]",1,1,towel
david_checked_compress,towel_red_1,149,1718815670997033890,1718815670251667491,"{'x': -0.14342593401670456, 'y': -1.115749716758728, 'z': -0.7788154631853104}","{'x': -0.12619089036442563, 'y': 0.5738903455973751, 'z': -0.8079499247697708, 'w': 0.044075497543201086}","{'x': 0.23612810671329498, 'y': -1.1205520629882812, 'z': -0.7885675579309464}","{'x': -0.11936451246718506, 'y': -0.6082075257286059, 'z': 0.7768059696178067, 'w': 0.11139211990395703}","[-0.14385412536376624, -1.2519433822506265, -0.7777656384136488]","[0.22315674316812406, -1.2554812992793096, -0.8018282110709252]",1,1,towel
arif_checked_process,towel_red,359,1717599889499912099,1717599888563747018,"{'x': -0.26535071805119514, 'y': -1.1431125402450562, 'z': -0.887916773557663}","{'x': -0.14221374772490059, 'y': 0.4259268135638978, 'z': -0.8894415907013502, 'w': 0.08517779156561217}","{'x': 0.37496862933039665, 'y': -1.1452010869979858, 'z': -0.8431819975376129}","{'x': 0.08133117215680417, 'y': 0.486811156708508, 'z': -0.863769539875658, 'w': 0.10150034543152457}","[-0.25535346106845475, -1.2543188259858398, -0.8373379552187554]","[0.40679637989436546, -1.256091034480364, -0.8017644427885311]",1,1,towel
lipeng_checked_compress,towel_red_6,200,1719054671924965615,1719054670985724894,"{'x': -0.2423887513577938, 'y': -1.1339967250823975, 'z': -0.8278102427721024}","{'x': 0.010513117418970765, 'y': -0.6314219956911535, 'z': 0.7733871390583237, 'w': 0.05539016933280638}","{'x': 0.35188500955700874, 'y': -1.1412129402160645, 'z': -0.7999314814805984}","{'x': 0.10212235017336346, 'y': 0.643314830613758, 'z': -0.7370390369249777, 'w': 0.18025124786298172}","[-0.27208324302528936, -1.2391733639948799, -0.8497445034544762]","[0.39617567112786556, -1.2418668861888067, -0.8181556538275693]",1,1,towel
rory_checked_process,towel_blue,200,1717767891565584356,1717767890556188014,"{'x': -0.07192182540893555, 'y': -1.0038160681724548, 'z': -0.6502338349819183}","{'x': 0.5269035948443869, 'y': 0.45052757021565526, 'z': -0.5603525733805673, 'w': 0.4532135299408172}","{'x': 0.300053171813488, 'y': -1.0315120220184326, 'z': -0.3887188732624054}","{'x': -0.4457347440745824, 'y': -0.42808979544026815, 'z': 0.7786133811507573, 'w': 0.10872381366407931}","[-0.04292961979931776, -1.1171361604525818, -0.6774920208994217]",,1,0,towel
gerardo_checked_process,towel_pink,155,1717667236777637652,1717667236167673319,"{'x': -0.10881295055150986, 'y': -1.1272921562194824, 'z': -1.0907038748264313}","{'x': -0.048595446284085964, 'y': 0.6358986850908872, 'z': -0.7488264473869941, 'w': 0.18036157183254004}","{'x': 0.2817319706082344, 'y': -1.13237464427948, 'z': -1.080753356218338}","{'x': -0.2295052707270495, 'y': -0.5769594790057786, 'z': 0.7593778488513898, 'w': 0.1943974613201521}","[-0.09827368178829683, -1.2432358227125813, -1.0991294320230693]","[0.24252694495071755, -1.2422164969876333, -1.0759854052083349]",1,1,towel
lipeng_checked_compress,towel_red_3,49,1719054383750741777,1719054383010033997,"{'x': -0.029182840138673782, 'y': -0.820323646068573, 'z': -0.5934461802244186}","{'x': -0.4111514959371436, 'y': 0.7083886431155508, 'z': -0.4956376239135815, 'w': 0.2889348083129772}","{'x': 0.21484189853072166, 'y': -0.45410341024398804, 'z': -0.662351056933403}","{'x': -0.1605531148324434, 'y': -0.8363858072557278, 'z': 0.4958343052720981, 'w': 0.16979346410895985}","[0.029286044407140492, -0.8764869422152712, -0.6699450279667638]",,1,0,towel
