name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper
robot_lsshirt_resize,lsshirt_grey_3,60,1722268376166084722,1722268372949240271,"{'x': -0.13377078317994232, 'y': -0.8536839166083137, 'z': -0.6144577140156213}","{'x': -0.48024640292160586, 'y': 0.38139912882105126, 'z': -0.7167564602748042, 'w': -0.33190099980225246}","{'x': -0.04409314130154712, 'y': -1.0982183439466708, 'z': -0.7199609554459319}","{'x': 0.1407572423469193, 'y': 0.559939383745431, 'z': -0.6984537665876445, 'w': -0.42286832607468927}","{'x': -0.13377078317994232, 'y': -0.8536839166083137, 'z': -0.6144577140156213}","{'x': -0.04409314130154712, 'y': -1.0982183439466708, 'z': -0.7199609554459319}",0,1
robot_lsshirt_resize,lsshirt_grey_3,91,1722268385163787577,1722268382551341585,"{'x': -0.002578362082532787, 'y': -1.0230836558934049, 'z': -0.8711190912752442}","{'x': -0.6306992497908813, 'y': 0.3145130159059386, 'z': -0.5713085109741856, 'w': -0.4206026681173445}","{'x': 0.11548129428178366, 'y': -0.6477328042147386, 'z': -0.8294363417765668}","{'x': 0.3224465229953576, 'y': 0.7489724201857145, 'z': -0.5627090447939072, 'w': 0.13574639780298584}","{'x': -0.002578362082532787, 'y': -1.0230836558934049, 'z': -0.8711190912752442}","{'x': 0.11548129428178366, 'y': -0.6477328042147386, 'z': -0.8294363417765668}",1,0
robot_lsshirt_resize,lsshirt_grey_3,188,1722268409373040753,1722268406764059614,"{'x': -0.1810703435494945, 'y': -1.1520312891678517, 'z': -0.5790039597781077}","{'x': 0.44922461602761143, 'y': 0.3946365815849223, 'z': -0.1810443809816089, 'w': 0.7808214552282731}","{'x': 0.08646259986861032, 'y': -1.2377161172532074, 'z': -0.9369636844103304}","{'x': 0.16170827941022548, 'y': 0.8086369615561382, 'z': -0.5596844617858112, 'w': 0.08191458973203825}","{'x': -0.1810703435494945, 'y': -1.1520312891678517, 'z': -0.5790039597781077}","{'x': 0.08646259986861032, 'y': -1.2377161172532074, 'z': -0.9369636844103304}",0,1
robot_lsshirt_resize,lsshirt_grey_3,208,1722268415484567068,1722268412181901186,"{'x': -0.18042594890379612, 'y': -1.1502638710708037, 'z': -0.5807824009924486}","{'x': 0.4501266215349051, 'y': 0.3955307647596928, 'z': -0.18018615544251526, 'w': 0.7800476832226544}","{'x': 0.32636252766052665, 'y': -1.2207256048966206, 'z': -0.6395033748089405}","{'x': 0.12331251244426608, 'y': 0.5226962134432778, 'z': -0.8084959615372951, 'w': 0.24065945421825263}","{'x': -0.18042594890379612, 'y': -1.1502638710708037, 'z': -0.5807824009924486}","{'x': 0.32636252766052665, 'y': -1.2207256048966206, 'z': -0.6395033748089405}",0,1
robot_lsshirt_resize,lsshirt_grey_3,230,1722268420184542636,1722268417782797042,"{'x': -0.22879494304692166, 'y': -1.2290629063928884, 'z': -0.5006993043658895}","{'x': 0.36028302676708646, 'y': 0.43921900860022417, 'z': -0.3257557553778867, 'w': 0.7557552453975859}","{'x': 0.3833659778976907, 'y': -1.1152947279912397, 'z': -0.6242446578950634}","{'x': 0.3483984985744494, 'y': 0.454531503680137, 'z': -0.6814651496164575, 'w': 0.4556586970656459}","{'x': -0.22879494304692166, 'y': -1.2290629063928884, 'z': -0.5006993043658895}","{'x': 0.3833659778976907, 'y': -1.1152947279912397, 'z': -0.6242446578950634}",1,0
robot_lsshirt_resize,lsshirt_grey_3,320,1722268443791190960,1722268440989569775,"{'x': -0.14842780576762546, 'y': -1.2503281949054468, 'z': -0.8881347343458821}","{'x': 0.44915528087867534, 'y': 0.6039935870522237, 'z': -0.24191101558152484, 'w': 0.6123155567180221}","{'x': 0.5363851347502598, 'y': -1.08511406477093, 'z': -0.6419877304280269}","{'x': 0.312856163303591, 'y': 0.5746884969520714, 'z': -0.44455366830936865, 'w': 0.6117402950162836}","{'x': -0.14842780576762546, 'y': -1.2503281949054468, 'z': -0.8881347343458821}","{'x': 0.5363851347502598, 'y': -1.08511406477093, 'z': -0.6419877304280269}",1,0
robot_lsshirt_resize,lsshirt_grey_3,349,1722268451599042882,1722268448993463831,"{'x': 0.0046203260625329035, 'y': -1.1438598497457653, 'z': -0.4349038721307872}","{'x': 0.34965165480564464, 'y': 0.2616323096145908, 'z': -0.17784756748587888, 'w': 0.8818517435469325}","{'x': 0.28676509561375446, 'y': -1.2658769690258942, 'z': -0.43061634967299955}","{'x': 0.41922823385751107, 'y': 0.39755020689166715, 'z': -0.7026802799699096, 'w': 0.41526129735205797}","{'x': 0.0046203260625329035, 'y': -1.1438598497457653, 'z': -0.4349038721307872}","{'x': 0.28676509561375446, 'y': -1.2658769690258942, 'z': -0.43061634967299955}",0,1
robot_lsshirt_resize,lsshirt_grey_3,367,1722268455596380647,1722268453391362089,"{'x': 0.25788757364076376, 'y': -1.2635253247619997, 'z': -0.784550600653345}","{'x': 0.5652524897597535, 'y': 0.44776329114119057, 'z': -0.1284412353410282, 'w': 0.6808087154193017}","{'x': 0.29369824125767546, 'y': -1.2664750110225202, 'z': -0.4380031015948864}","{'x': 0.4199378236489029, 'y': 0.4044873206123534, 'z': -0.6974849268607053, 'w': 0.4166017385165101}","{'x': 0.25788757364076376, 'y': -1.2635253247619997, 'z': -0.784550600653345}","{'x': 0.29369824125767546, 'y': -1.2664750110225202, 'z': -0.4380031015948864}",1,0
robot_lsshirt_resize,lsshirt_grey_3,386,1722268460801078680,1722268458204148449,"{'x': 0.006567513545687381, 'y': -1.1452541280254676, 'z': -0.6586784681695408}","{'x': 0.4728614589444046, 'y': 0.2467926370543404, 'z': -0.09766891152465912, 'w': 0.8402120081636073}","{'x': 0.4240931476641685, 'y': -1.2491169280831083, 'z': -0.7194466260685177}","{'x': 0.37402058655499515, 'y': 0.6284549285882672, 'z': -0.6197393030553261, 'w': 0.28473882737461675}","{'x': 0.006567513545687381, 'y': -1.1452541280254676, 'z': -0.6586784681695408}","{'x': 0.4240931476641685, 'y': -1.2491169280831083, 'z': -0.7194466260685177}",0,1
robot_lsshirt_resize,lsshirt_grey_3,407,1722268465786277112,1722268463796402387,"{'x': -0.11084062256678454, 'y': -1.1993508225031742, 'z': -0.954070305163786}","{'x': 0.4323558458173554, 'y': 0.661517288700316, 'z': -0.2607946744233853, 'w': 0.5544812324421291}","{'x': 0.47587498429919844, 'y': -1.0553318640854712, 'z': -0.6101695152788237}","{'x': 0.3023164524370533, 'y': 0.43277047035363747, 'z': -0.6026288051494161, 'w': 0.5984588588866853}","{'x': -0.11084062256678454, 'y': -1.1993508225031742, 'z': -0.954070305163786}","{'x': 0.47587498429919844, 'y': -1.0553318640854712, 'z': -0.6101695152788237}",1,0
