name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
robot_lsshirt_resize,lsshirt_grey_5,128,1722268967194434286,1722268964691461589,"{'x': -0.20063022004970962, 'y': -1.2520479765403099, 'z': -0.6164227993015642}","{'x': 0.4621747505213859, 'y': 0.5222799309986039, 'z': -0.32686521991639783, 'w': 0.6377909545184796}","{'x': 0.3884195341968225, 'y': -1.0681606554151226, 'z': -0.619189595114813}","{'x': 0.43242917869370956, 'y': 0.5891764122633146, 'z': -0.43021055174132455, 'w': 0.5299009735952913}","{'x': -0.20063022004970962, 'y': -1.2520479765403099, 'z': -0.6164227993015642}","{'x': 0.3884195341968225, 'y': -1.0681606554151226, 'z': -0.619189595114813}",1,0,lsshirt
robot_lsshirt_resize,lsshirt_bluedot_9,28,1723397358668286318,1723397356068342179,"{'x': -0.06933222923067456, 'y': -1.041669764089236, 'z': -0.7569867668808336}","{'x': 0.5229899400530266, 'y': 0.6166983922007103, 'z': 0.06178507489226703, 'w': 0.5851044523680772}","{'x': -0.01360747801070289, 'y': -0.8511443564605762, 'z': -0.7993351724584109}","{'x': 0.35911234835925493, 'y': 0.6387178109197409, 'z': -0.6432900958902695, 'w': 0.2219363237491397}","{'x': -0.06933222923067456, 'y': -1.041669764089236, 'z': -0.7569867668808336}","{'x': -0.01360747801070289, 'y': -0.8511443564605762, 'z': -0.7993351724584109}",1,0,lsshirt
robot_lsshirt_resize,lsshirt_bluedot_5,352,1722267030067202615,1722267027266307297,"{'x': -0.1229944494067512, 'y': -1.0545276752595605, 'z': -0.5550833059665805}","{'x': 0.24670821282325311, 'y': 0.45791198126694344, 'z': -0.1804150929411122, 'w': 0.8348066059733769}","{'x': 0.4529682281501456, 'y': -1.2076177269975348, 'z': -0.5797317122178468}","{'x': 0.6513484146827031, 'y': 0.4370477654010746, 'z': -0.5226384580383852, 'w': 0.3340412184559205}","{'x': -0.1229944494067512, 'y': -1.0545276752595605, 'z': -0.5550833059665805}","{'x': 0.4529682281501456, 'y': -1.2076177269975348, 'z': -0.5797317122178468}",0,1,lsshirt
robot_lsshirt_resize,lsshirt_bluedot_3,44,1722266635080749695,1722266632684701665,"{'x': -0.04831697169073845, 'y': -0.918434978926788, 'z': -0.70341524846569}","{'x': 0.49027905479607364, 'y': 0.5255974060308509, 'z': 0.29913807047468677, 'w': 0.6276067478880312}","{'x': -0.0047319720886978, 'y': -0.7665095834906913, 'z': -0.6688485282227341}","{'x': 0.08287147624580082, 'y': 0.6961492279872522, 'z': -0.7119078638553268, 'w': -0.041179657338785036}","{'x': -0.04831697169073845, 'y': -0.918434978926788, 'z': -0.70341524846569}","{'x': -0.0047319720886978, 'y': -0.7665095834906913, 'z': -0.6688485282227341}",1,0,lsshirt
robot_lsshirt_resize,lsshirt_darkblue_8,302,1723393049977475861,1723393047277710241,"{'x': 0.01929312029272348, 'y': -1.0797418445310547, 'z': -0.5473702816193754}","{'x': 0.41150171161574306, 'y': 0.2159991245791153, 'z': -0.03651576625406422, 'w': 0.8846905212181535}","{'x': 0.35058764709035484, 'y': -1.1811137921182104, 'z': -0.8614300987145188}","{'x': 0.2992550815584588, 'y': 0.7077397641836771, 'z': -0.6315081971796019, 'w': 0.10367361887019472}","{'x': 0.01929312029272348, 'y': -1.0797418445310547, 'z': -0.5473702816193754}","{'x': 0.35058764709035484, 'y': -1.1811137921182104, 'z': -0.8614300987145188}",0,1,lsshirt
robot_lsshirt_resize,lsshirt_white_8,89,1723394219426002598,1723394216629725866,"{'x': -0.27541859655070977, 'y': -0.9825448973051274, 'z': -0.571073499291154}","{'x': 0.5907466705570315, 'y': 0.4063072844432407, 'z': -0.17576119712973537, 'w': 0.6745670933403614}","{'x': 0.16265124510176726, 'y': -1.2711546085941228, 'z': -0.4799569787858195}","{'x': 0.42856706217610907, 'y': 0.47018510245246087, 'z': -0.6181183975712105, 'w': 0.46172057484316964}","{'x': -0.27541859655070977, 'y': -0.9825448973051274, 'z': -0.571073499291154}","{'x': 0.16265124510176726, 'y': -1.2711546085941228, 'z': -0.4799569787858195}",0,1,lsshirt
robot_lsshirt_resize,lsshirt_lightblue_8,436,1723395290371246502,1723395287769216683,"{'x': -0.7086302069140901, 'y': -1.1685569579441069, 'z': -0.6153948617751295}","{'x': 0.2136306354019903, 'y': 0.7108854689924451, 'z': -0.5369854088008967, 'w': 0.40081226569064377}","{'x': 0.19784327524512574, 'y': -1.2593176210826964, 'z': -0.9765242750822963}","{'x': 0.6477649741017417, 'y': 0.5445742801578787, 'z': -0.4895227486393491, 'w': 0.21025429908107662}","{'x': -0.7086302069140901, 'y': -1.1685569579441069, 'z': -0.6153948617751295}","{'x': 0.19784327524512574, 'y': -1.2593176210826964, 'z': -0.9765242750822963}",0,1,lsshirt
robot_lsshirt_resize,lsshirt_grey_6,323,1723397940493543015,1723397937901164953,"{'x': 0.3432520123331253, 'y': -1.2578707333383798, 'z': -0.7745857157481967}","{'x': 0.5570722586767982, 'y': 0.5058738079121264, 'z': -0.15669792212582057, 'w': 0.6396936378319437}","{'x': 0.333993753340618, 'y': -1.2499208460379065, 'z': -0.4396839359692952}","{'x': 0.5723273963312364, 'y': 0.2819971478817803, 'z': -0.701783332932994, 'w': 0.3168897499331714}","{'x': 0.3432520123331253, 'y': -1.2578707333383798, 'z': -0.7745857157481967}","{'x': 0.333993753340618, 'y': -1.2499208460379065, 'z': -0.4396839359692952}",1,0,lsshirt
robot_lsshirt_resize,lsshirt_grey_8,261,1723398213206118453,1723398210811005336,"{'x': -0.2681692930535676, 'y': -1.23344973171565, 'z': -0.9117141023861196}","{'x': 0.6668115294885374, 'y': 0.3802974304808872, 'z': -0.10786566621709293, 'w': 0.6317446054873243}","{'x': 0.6014461442855938, 'y': -1.081530479952406, 'z': -0.6419595809216663}","{'x': 0.27831913455030177, 'y': 0.44661036880262145, 'z': -0.4052855182118905, 'w': 0.7475435014424757}","{'x': -0.2681692930535676, 'y': -1.23344973171565, 'z': -0.9117141023861196}","{'x': 0.6014461442855938, 'y': -1.081530479952406, 'z': -0.6419595809216663}",1,0,lsshirt
robot_lsshirt_resize,lsshirt_white_6,221,1723393800474567269,1723393797662282835,"{'x': -0.1881719350723934, 'y': -1.1426631506780043, 'z': -0.8791108124695408}","{'x': 0.604286242636785, 'y': 0.3740881734004624, 'z': -0.34698345868390634, 'w': 0.611962952213266}","{'x': 0.5087865897791601, 'y': -1.278511682414523, 'z': -0.868307631568303}","{'x': 0.2750244923490802, 'y': 0.7378595459519912, 'z': -0.6038240313671543, 'w': 0.12377947406242251}","{'x': -0.1881719350723934, 'y': -1.1426631506780043, 'z': -0.8791108124695408}","{'x': 0.5087865897791601, 'y': -1.278511682414523, 'z': -0.868307631568303}",0,1,lsshirt
