name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
robot_lstshirt_resize,lstshirt_white_8,249,1723561536957259045,1723561533750458025,"{'x': -0.4882908056311308, 'y': -1.1330226244494435, 'z': -0.5097821508377282}","{'x': 0.3439089901678373, 'y': 0.4331117626777632, 'z': -0.5853341319698092, 'w': 0.5928952364988685}","{'x': 0.19276549516203328, 'y': -1.2617289010328239, 'z': -0.9674557436184127}","{'x': 0.7926863653022457, 'y': 0.3769694297559494, 'z': -0.4516792168679721, 'w': 0.1597756562900769}","{'x': -0.4882908056311308, 'y': -1.1330226244494435, 'z': -0.5097821508377282}","{'x': 0.19276549516203328, 'y': -1.2617289010328239, 'z': -0.9674557436184127}",0,1,lstshirt
robot_lstshirt_resize,lstshirt_purple_2,35,1722974384870871458,1722974382266888832,"{'x': -0.06947433590406438, 'y': -0.9827427164030537, 'z': -0.6736602128763761}","{'x': 0.5139974311935157, 'y': 0.4605821550311514, 'z': 0.15588992566062482, 'w': 0.7066604915168615}","{'x': -0.03464211620323904, 'y': -0.7524874554711338, 'z': -0.7041533216853247}","{'x': 0.11173505179594712, 'y': 0.7371361067522418, 'z': -0.6623632750877736, 'w': 0.07362424965527858}","{'x': -0.06947433590406438, 'y': -0.9827427164030537, 'z': -0.6736602128763761}","{'x': -0.03464211620323904, 'y': -0.7524874554711338, 'z': -0.7041533216853247}",1,0,lstshirt
robot_lstshirt_resize,lstshirt_white_7,49,1723561285741029477,1723561282544956173,"{'x': -0.02239662412034485, 'y': -0.7596978577381521, 'z': -0.9100917595635677}","{'x': 0.5724292465001886, 'y': 0.5319279298067956, 'z': -0.12878957079903133, 'w': 0.6105658700714317}","{'x': 0.0475560991390096, 'y': -0.8913057153342832, 'z': -0.8793004026771142}","{'x': 0.44358680254877264, 'y': 0.6916571472027881, 'z': -0.56845138463087, 'w': 0.04128150480667747}","{'x': -0.02239662412034485, 'y': -0.7596978577381521, 'z': -0.9100917595635677}","{'x': 0.0475560991390096, 'y': -0.8913057153342832, 'z': -0.8793004026771142}",0,1,lstshirt
robot_lstshirt_resize,lstshirt_white_7,139,1723561309149073916,1723561306549785517,"{'x': -0.13817760174631213, 'y': -1.1930892344766928, 'z': -0.9184812014908318}","{'x': 0.570612476928285, 'y': 0.49531250291979934, 'z': -0.2557423397683539, 'w': 0.6030445931064292}","{'x': 0.19802155549924771, 'y': -1.2402768574502938, 'z': -0.995997240956996}","{'x': 0.6135084030749636, 'y': 0.5806138448757739, 'z': -0.41870828093837487, 'w': 0.3334342183529006}","{'x': -0.13817760174631213, 'y': -1.1930892344766928, 'z': -0.9184812014908318}","{'x': 0.19802155549924771, 'y': -1.2402768574502938, 'z': -0.995997240956996}",0,1,lstshirt
robot_lstshirt_resize,lstshirt_white_7,108,1723561301141314740,1723561298539232077,"{'x': 0.01847637179795733, 'y': -1.1584723943564383, 'z': -0.8355123965614307}","{'x': 0.5394724140049815, 'y': 0.5117490036101875, 'z': -0.12420608042888842, 'w': 0.6570048108013444}","{'x': 0.07878583837390712, 'y': -0.8538777110532352, 'z': -0.8614332989674085}","{'x': 0.3556965544008476, 'y': 0.6814061536461067, 'z': -0.6180991497044902, 'w': 0.16467864492753523}","{'x': 0.01847637179795733, 'y': -1.1584723943564383, 'z': -0.8355123965614307}","{'x': 0.07878583837390712, 'y': -0.8538777110532352, 'z': -0.8614332989674085}",1,0,lstshirt
robot_lstshirt_resize,lstshirt_brown_2,265,1723213422936740367,1723213420135093748,"{'x': -0.2849348552589125, 'y': -1.2606950717039795, 'z': -0.7554427585347895}","{'x': 0.5694778074797178, 'y': 0.32614462390058274, 'z': -0.19278998945816167, 'w': 0.7294907340422925}","{'x': 0.36294861035650816, 'y': -1.1047825038892678, 'z': -0.6003230217902266}","{'x': 0.28519378639307247, 'y': 0.39349119382573855, 'z': -0.5989813382777649, 'w': 0.6364358105727203}","{'x': -0.2849348552589125, 'y': -1.2606950717039795, 'z': -0.7554427585347895}","{'x': 0.36294861035650816, 'y': -1.1047825038892678, 'z': -0.6003230217902266}",1,0,lstshirt
robot_lstshirt_resize,lstshirt_brown_8,118,1723403306620219173,1723403303821445448,"{'x': -0.21439699180837346, 'y': -1.1304743199940623, 'z': -0.5228994955660138}","{'x': 0.4078708596028925, 'y': 0.3653455863664975, 'z': -0.18555493241811188, 'w': 0.8159248319941168}","{'x': 0.3846968554928652, 'y': -1.2620387012443075, 'z': -0.8738617795610377}","{'x': 0.542463071634125, 'y': 0.5638509632468672, 'z': -0.4105040951241866, 'w': 0.4682865522787547}","{'x': -0.21439699180837346, 'y': -1.1304743199940623, 'z': -0.5228994955660138}","{'x': 0.3846968554928652, 'y': -1.2620387012443075, 'z': -0.8738617795610377}",0,1,lstshirt
robot_lstshirt_resize,lstshirt_whitehor_3,377,1723207239809205081,1723207236909834638,"{'x': -0.2872566565627884, 'y': -1.2320837357725618, 'z': -0.8171749098056146}","{'x': 0.6235222739407577, 'y': 0.3013340868047786, 'z': -0.13179641778910028, 'w': 0.7092583776644714}","{'x': 0.4312146189825894, 'y': -1.066377775113527, 'z': -0.6111752165026613}","{'x': 0.2926297609410462, 'y': 0.4179354307782817, 'z': -0.4703756214878022, 'w': 0.7200309530997413}","{'x': -0.2872566565627884, 'y': -1.2320837357725618, 'z': -0.8171749098056146}","{'x': 0.4312146189825894, 'y': -1.066377775113527, 'z': -0.6111752165026613}",1,0,lstshirt
robot_lstshirt_resize,lstshirt_white_7,74,1723561292546384294,1723561289731003980,"{'x': 0.1515433301333248, 'y': -1.0211179008528184, 'z': -0.8563209839378816}","{'x': 0.46529635252684054, 'y': 0.5633035978199415, 'z': -0.27872286449560907, 'w': 0.6232992265482846}","{'x': 0.20241241141798816, 'y': -0.7921593211453059, 'z': -0.8054017060286853}","{'x': 0.333862303788419, 'y': 0.6683617005488054, 'z': -0.6323380070216198, 'w': 0.2048834893897616}","{'x': 0.1515433301333248, 'y': -1.0211179008528184, 'z': -0.8563209839378816}","{'x': 0.20241241141798816, 'y': -0.7921593211453059, 'z': -0.8054017060286853}",1,0,lstshirt
robot_selected_item_resize,lstshirt_whitehor_20,443,1724706844882922197,1724706842680333063,"{'x': -0.08988197025845715, 'y': -1.150977883026145, 'z': -0.7327220828696315}","{'x': 0.45817558176144413, 'y': 0.3904303438375913, 'z': 0.004335824069358063, 'w': 0.7985114172747074}","{'x': 0.1908572552395514, 'y': -1.2307880565337357, 'z': -0.6815072231379924}","{'x': -0.4704580080117616, 'y': 0.4520048908442924, 'z': -0.415549194659806, 'w': -0.6337820667769255}","{'x': -0.08988197025845715, 'y': -1.150977883026145, 'z': -0.7327220828696315}","{'x': 0.1908572552395514, 'y': -1.2307880565337357, 'z': -0.6815072231379924}",0,1,lstshirt
