name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
robot_napkin45_resize,napkin_grey45_5,108,1722201736851330849,1722201735253738832,"{'x': -0.07420319210548745, 'y': -0.5802753871763969, 'z': -0.8725743199561827}","{'x': 0.630026912433974, 'y': 0.504491772285264, 'z': 0.06486749638561151, 'w': 0.586810317920578}","{'x': -0.1204699485543353, 'y': -1.1227121354474763, 'z': -0.8779778240303402}","{'x': 0.6341529208360229, 'y': 0.530642422637075, 'z': -0.5558246953294449, 'w': -0.08560140393081606}","{'x': -0.07420319210548745, 'y': -0.5802753871763969, 'z': -0.8725743199561827}","{'x': -0.1204699485543353, 'y': -1.1227121354474763, 'z': -0.8779778240303402}",0,1,napkin
robot_napkin45_resize,napkin_pink45_8,108,1723294452674956566,1723294449964199397,"{'x': -0.11258511163587387, 'y': -1.0895920924863631, 'z': -0.5719606241660897}","{'x': 0.42123498013356836, 'y': 0.2838973053017514, 'z': -0.1966621870550163, 'w': 0.8386223200803888}","{'x': 0.3257587303236123, 'y': -1.2542593604523378, 'z': -0.8593275064704371}","{'x': 0.3677970730666254, 'y': 0.6612024245230457, 'z': -0.5431198663966472, 'w': 0.3640844374231857}","{'x': -0.11258511163587387, 'y': -1.0895920924863631, 'z': -0.5719606241660897}","{'x': 0.3257587303236123, 'y': -1.2542593604523378, 'z': -0.8593275064704371}",0,1,napkin
robot_selected_item_resize,napkin_fleek30_19,39,1723758067427269707,1723758065228202834,"{'x': 0.027350518036411253, 'y': -1.0454379888540037, 'z': -0.692070785003164}","{'x': 0.4868589365727968, 'y': 0.27040834594487273, 'z': 0.2585265626999877, 'w': 0.7893109138362987}","{'x': 0.0610723769575553, 'y': -0.8227727182681125, 'z': -0.7269009103900648}","{'x': -0.6040319145846638, 'y': 0.26330727897064987, 'z': 0.08715475097735975, 'w': -0.7471403967035462}","{'x': 0.027350518036411253, 'y': -1.0454379888540037, 'z': -0.692070785003164}","{'x': 0.0610723769575553, 'y': -0.8227727182681125, 'z': -0.7269009103900648}",1,0,napkin
robot_selected_item_resize,napkin_fleek30_12,136,1723754705126735638,1723754702713684880,"{'x': -0.13755715664293547, 'y': -1.2108018921086496, 'z': -0.44763638366544084}","{'x': 0.42099916605623844, 'y': 0.17968109038356112, 'z': -0.19043027462678797, 'w': 0.8684530605876706}","{'x': 0.25372034929321585, 'y': -1.2673019865357562, 'z': -0.7779592141231568}","{'x': -0.5968037517961091, 'y': 0.5388252972113364, 'z': -0.3604848067220898, 'w': -0.47280364322807483}","{'x': -0.13755715664293547, 'y': -1.2108018921086496, 'z': -0.44763638366544084}","{'x': 0.25372034929321585, 'y': -1.2673019865357562, 'z': -0.7779592141231568}",0,1,napkin
robot_napkin30_resize,napkin_red30_2,35,1722279611285893455,1722279608983807404,"{'x': 0.048170013180291876, 'y': -1.0241412719986618, 'z': -0.7528563966913889}","{'x': 0.46017757118656316, 'y': 0.47779446464260145, 'z': 0.15252750958785427, 'w': 0.7325874769286276}","{'x': 0.012480688625633202, 'y': -0.8229165652365424, 'z': -0.7853608583208261}","{'x': 0.28971525418281036, 'y': 0.6672424200848642, 'z': -0.656878783716836, 'w': 0.1984008261973055}","{'x': 0.048170013180291876, 'y': -1.0241412719986618, 'z': -0.7528563966913889}","{'x': 0.012480688625633202, 'y': -0.8229165652365424, 'z': -0.7853608583208261}",1,0,napkin
robot_napkin45_resize,napkin_brown45_2,63,1722199358073482448,1722199356074231205,"{'x': 0.029850075327964132, 'y': -0.7253405053902703, 'z': -0.7330471029643526}","{'x': 0.554304371768173, 'y': 0.3533219652819054, 'z': 0.17041751984702252, 'w': 0.734076372877654}","{'x': 0.13987960445249698, 'y': -1.0913959300389187, 'z': -0.7768820080048563}","{'x': 0.5091201978982526, 'y': 0.629339124030742, 'z': -0.4954640196388783, 'w': 0.31503062755793704}","{'x': 0.029850075327964132, 'y': -0.7253405053902703, 'z': -0.7330471029643526}","{'x': 0.13987960445249698, 'y': -1.0913959300389187, 'z': -0.7768820080048563}",0,1,napkin
robot_selected_item2_resize,napkin_fleek30_28,38,1724880779372489525,1724880777579336984,"{'x': -0.04471606876823622, 'y': -1.0361383981613952, 'z': -0.6543008830482013}","{'x': 0.49395597934582314, 'y': 0.384030387026516, 'z': 0.2205616258159785, 'w': 0.7482517768279506}","{'x': -0.03535739231744023, 'y': -0.7962927733860616, 'z': -0.6851572548451901}","{'x': 0.6093232126059893, 'y': -0.00987416207310099, 'z': -0.24150007726444972, 'w': 0.7551856964906944}","{'x': -0.04471606876823622, 'y': -1.0361383981613952, 'z': -0.6543008830482013}","{'x': -0.03535739231744023, 'y': -0.7962927733860616, 'z': -0.6851572548451901}",1,0,napkin
robot_napkin45_resize,napkin_red45_2,156,1722204663773220920,1722204661766044746,"{'x': -0.435906423371098, 'y': -1.1661805804074734, 'z': -0.5867137046872188}","{'x': -0.40329640607625367, 'y': 0.374169617753081, 'z': -0.6304047862082375, 'w': -0.547666788770542}","{'x': -0.23052560922465354, 'y': -1.260428372234461, 'z': -0.9099978036566521}","{'x': 0.4141207275361787, 'y': 0.7262271863820525, 'z': -0.5477438315171901, 'w': 0.03278401774312478}","{'x': -0.435906423371098, 'y': -1.1661805804074734, 'z': -0.5867137046872188}","{'x': -0.23052560922465354, 'y': -1.260428372234461, 'z': -0.9099978036566521}",0,1,napkin
robot_selected_item2_resize,napkin_fleek30_22,87,1724880417335351764,1724880415135342940,"{'x': -0.13365051057888533, 'y': -1.1266675703704447, 'z': -0.5543529492764004}","{'x': 0.3925761719875056, 'y': 0.3048100033067442, 'z': -0.09172743513942505, 'w': 0.8628794172504766}","{'x': 0.23297732975994467, 'y': -1.2606855506591663, 'z': -0.8480209979418416}","{'x': -0.6566869853808504, 'y': 0.4376744554664443, 'z': -0.2968677886068371, 'w': -0.5376548989372724}","{'x': -0.13365051057888533, 'y': -1.1266675703704447, 'z': -0.5543529492764004}","{'x': 0.23297732975994467, 'y': -1.2606855506591663, 'z': -0.8480209979418416}",0,1,napkin
robot_napkin45_resize,napkin_fleek45_2,161,1722200812680150935,1722200810279310989,"{'x': -0.3055550211423456, 'y': -1.2002224873528993, 'z': -0.5169608010557117}","{'x': 0.3845427729505127, 'y': 0.30953561537536556, 'z': -0.3744254250543347, 'w': 0.784933219871987}","{'x': 0.20749703789290774, 'y': -1.2613212137730112, 'z': -0.9301704915048178}","{'x': 0.6769500974704893, 'y': 0.4221568200329662, 'z': -0.48885135709763616, 'w': 0.3529115122777213}","{'x': -0.3055550211423456, 'y': -1.2002224873528993, 'z': -0.5169608010557117}","{'x': 0.20749703789290774, 'y': -1.2613212137730112, 'z': -0.9301704915048178}",0,1,napkin
