name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
robot_selected_item3_resize,pant_bluejean_59,47,1725059359393391351,1725059357006287089,"{'x': -0.052965532739935456, 'y': -0.7876154683312542, 'z': -0.6300609602621839}","{'x': -0.6210093451575889, 'y': -0.03343250942735243, 'z': -0.49443793871265457, 'w': -0.6072567704866811}","{'x': 0.1046978529233614, 'y': -0.8750253910901644, 'z': -0.6348303279404958}","{'x': 0.5296144904860204, 'y': 0.09796746148659663, 'z': -0.10645805533139518, 'w': 0.8358095180196041}","{'x': -0.052965532739935456, 'y': -0.7876154683312542, 'z': -0.6300609602621839}","{'x': 0.1046978529233614, 'y': -0.8750253910901644, 'z': -0.6348303279404958}",0,1,pant
robot_pant_resize,pant_bluejean_10,38,1723304396960718056,1723304394772669529,"{'x': -0.04036811334101159, 'y': -1.0131084260877568, 'z': -0.7333409004304385}","{'x': -0.08943664733834952, 'y': 0.5871122635322383, 'z': -0.6224566019076929, 'w': 0.5097529351209812}","{'x': 0.02527337031527291, 'y': -0.6824786445980116, 'z': -0.6935724598543669}","{'x': -0.008938018197608033, 'y': 0.7828516942066774, 'z': -0.6132686861033181, 'w': -0.10471320524911948}","{'x': -0.04036811334101159, 'y': -1.0131084260877568, 'z': -0.7333409004304385}","{'x': 0.02527337031527291, 'y': -0.6824786445980116, 'z': -0.6935724598543669}",1,0,pant
robot_selected_item3_resize,pant_bluejean_48,45,1725058379335237451,1725058377731471560,"{'x': 0.04036910575143285, 'y': -0.7150601060692032, 'z': -0.5911795100173348}","{'x': -0.5414273977367672, 'y': 0.23797400069476732, 'z': -0.725696517134595, 'w': -0.3515527172303432}","{'x': 0.08379036601162351, 'y': -0.9146246019536775, 'z': -0.6763737812164035}","{'x': 0.6503947626935874, 'y': -0.1902848699008903, 'z': -0.2853948082130937, 'w': 0.6777375040475218}","{'x': 0.04036910575143285, 'y': -0.7150601060692032, 'z': -0.5911795100173348}","{'x': 0.08379036601162351, 'y': -0.9146246019536775, 'z': -0.6763737812164035}",0,1,pant
robot_pant_resize,pant_blackjean_4,222,1722288118832391039,1722288116328470292,"{'x': -0.365542136524004, 'y': -1.1188912021859883, 'z': -0.603203020022211}","{'x': 0.38157112966247275, 'y': 0.6234275991583682, 'z': -0.31267977867974583, 'w': 0.6066076636678128}","{'x': 0.3752011807940907, 'y': -1.2516256849244287, 'z': -0.5697941093665263}","{'x': 0.8180100164714936, 'y': 0.2682128989182514, 'z': -0.5030832721226152, 'w': 0.0763457603051888}","{'x': -0.365542136524004, 'y': -1.1188912021859883, 'z': -0.603203020022211}","{'x': 0.3752011807940907, 'y': -1.2516256849244287, 'z': -0.5697941093665263}",0,1,pant
robot_pant_resize,pant_blackjean_6,166,1723300667421230754,1723300665223866685,"{'x': -0.15106723962192706, 'y': -1.2611058130489803, 'z': -0.8710996278416969}","{'x': -0.6972588874558139, 'y': 0.18294319283205146, 'z': -0.31651771624243985, 'w': -0.616586058360847}","{'x': 0.13482276849082045, 'y': -1.2633732957440726, 'z': -0.47726132302129093}","{'x': 0.31983668065367254, 'y': 0.5962386576311947, 'z': -0.60701394722119, 'w': 0.41681893998898634}","{'x': -0.15106723962192706, 'y': -1.2611058130489803, 'z': -0.8710996278416969}","{'x': 0.13482276849082045, 'y': -1.2633732957440726, 'z': -0.47726132302129093}",1,0,pant
robot_selected_item3_resize,pant_bluejean_41,36,1725056274757878995,1725056272964912360,"{'x': -0.06301079437982021, 'y': -0.923188881200442, 'z': -0.8000158133021636}","{'x': -0.6854267300880368, 'y': 0.009082419586365575, 'z': -0.2951665712302123, 'w': -0.6655707344553836}","{'x': 0.07523036749676307, 'y': -0.8149977996746575, 'z': -0.7022209118091065}","{'x': 0.5414277649056939, 'y': 0.3325667657762594, 'z': -0.40187677954737755, 'w': 0.6593560311022959}","{'x': -0.06301079437982021, 'y': -0.923188881200442, 'z': -0.8000158133021636}","{'x': 0.07523036749676307, 'y': -0.8149977996746575, 'z': -0.7022209118091065}",1,0,pant
robot_selected_item2_resize,pant_bluejean_27,133,1724889735162718890,1724889732863291829,"{'x': -0.5832093586003831, 'y': -1.0682855737789982, 'z': -0.5716581909348593}","{'x': 0.26383796492625333, 'y': 0.7297170656097537, 'z': -0.2324359200368085, 'w': 0.5864094776673603}","{'x': 0.32445036763194945, 'y': -1.2543495279531396, 'z': -0.6953695549841686}","{'x': -0.05237998799491461, 'y': 0.9180113736744024, 'z': -0.12870566241404413, 'w': -0.3714112372083688}","{'x': -0.5832093586003831, 'y': -1.0682855737789982, 'z': -0.5716581909348593}","{'x': 0.32445036763194945, 'y': -1.2543495279531396, 'z': -0.6953695549841686}",0,1,pant
robot_selected_item3_resize,pant_bluejean_52,31,1725058764951947921,1725058762752035272,"{'x': 0.0076704277991218595, 'y': -0.9881457365722337, 'z': -0.740295118529013}","{'x': -0.6051119051988105, 'y': -0.06674852881956356, 'z': -0.4402161879597285, 'w': -0.6599953969122017}","{'x': 0.05586524197723294, 'y': -0.8233602351787846, 'z': -0.6403808174924039}","{'x': 0.4557440246804792, 'y': 0.29435088626315864, 'z': -0.5537390743765828, 'w': 0.6316866131498251}","{'x': 0.0076704277991218595, 'y': -0.9881457365722337, 'z': -0.740295118529013}","{'x': 0.05586524197723294, 'y': -0.8233602351787846, 'z': -0.6403808174924039}",1,0,pant
robot_pant_resize,pant_pink_3,151,1722282141110212356,1722282138912462750,"{'x': -0.06961175631344563, 'y': -0.8529740659828351, 'z': -0.7234743515657707}","{'x': -0.6084204261033257, 'y': -0.1852958170665889, 'z': -0.4042643548005197, 'w': -0.6573129975252218}","{'x': -0.01664086548225588, 'y': -0.9944422770775735, 'z': -0.7025861001997885}","{'x': 0.010620041646459077, 'y': 0.6634535556273438, 'z': -0.7383000802972088, 'w': -0.12095282416710129}","{'x': -0.06961175631344563, 'y': -0.8529740659828351, 'z': -0.7234743515657707}","{'x': -0.01664086548225588, 'y': -0.9944422770775735, 'z': -0.7025861001997885}",0,1,pant
robot_pant_resize,pant_bluejean_2,166,1722283265640871805,1722283264032948117,"{'x': -0.6562895879384303, 'y': -1.0943946301304481, 'z': -0.5700491952177188}","{'x': 0.2490332260934363, 'y': 0.7017358753663117, 'z': -0.38611756494506744, 'w': 0.5444836449024555}","{'x': 0.2530767211881421, 'y': -1.25510783028482, 'z': -0.4327634293395423}","{'x': 0.8458374223601932, 'y': 0.16112758917193576, 'z': -0.4370247660503218, 'w': 0.26001213202726775}","{'x': -0.6562895879384303, 'y': -1.0943946301304481, 'z': -0.5700491952177188}","{'x': 0.2530767211881421, 'y': -1.25510783028482, 'z': -0.4327634293395423}",0,1,pant
