name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
robot_ssshirt_resize,ssshirt_white_9,224,1723324672442911404,1723324670045603027,"{'x': -0.22162521981093997, 'y': -1.1370726325203777, 'z': -0.6363146169276293}","{'x': 0.386588514433091, 'y': 0.4103160071392197, 'z': -0.2216250287289932, 'w': 0.7956584954832171}","{'x': 0.1452428970694803, 'y': -1.2640849112291286, 'z': -0.5627229629831518}","{'x': -0.32694550540496964, 'y': 0.5343281427620369, 'z': -0.4499212880999234, 'w': -0.6365303660175742}","{'x': -0.22162521981093997, 'y': -1.1370726325203777, 'z': -0.6363146169276293}","{'x': 0.1452428970694803, 'y': -1.2640849112291286, 'z': -0.5627229629831518}",0,1,ssshirt
robot_selected_item3_resize,ssshirt_pink_44,91,1725032684107150919,1725032682110995531,"{'x': 0.04693374483492954, 'y': -0.8838049119005732, 'z': -0.8141620257621176}","{'x': 0.614584869076953, 'y': 0.4345577961291898, 'z': -0.026404072664662714, 'w': 0.6578356827291487}","{'x': 0.11264977420098499, 'y': -0.7836528910777987, 'z': -0.7921853605463441}","{'x': -0.6370221240704138, 'y': 0.3384091525248527, 'z': -0.23369464678863283, 'w': -0.6519730600220882}","{'x': 0.04693374483492954, 'y': -0.8838049119005732, 'z': -0.8141620257621176}","{'x': 0.11264977420098499, 'y': -0.7836528910777987, 'z': -0.7921853605463441}",1,0,ssshirt
robot_selected_item2_resize,ssshirt_pink_29,162,1724892048089564578,1724892046501078600,"{'x': -0.2352670213252143, 'y': -1.1573207855086196, 'z': -0.8689105787696816}","{'x': 0.6330709662077336, 'y': 0.3087449097677698, 'z': -0.25923211351527153, 'w': 0.6608301171705959}","{'x': 0.07701818528050386, 'y': -1.224908450306382, 'z': -1.0283427170274293}","{'x': -0.8306707758213931, 'y': 0.22548494774174233, 'z': -0.05164601779717229, 'w': -0.5064338943869007}","{'x': -0.2352670213252143, 'y': -1.1573207855086196, 'z': -0.8689105787696816}","{'x': 0.07701818528050386, 'y': -1.224908450306382, 'z': -1.0283427170274293}",0,1,ssshirt
robot_ssshirt_resize,ssshirt_yellow_10,354,1723377379209218162,1723377376618891582,"{'x': -0.2152534813953432, 'y': -1.182864094956521, 'z': -0.6357139227358429}","{'x': 0.42082929407263303, 'y': 0.36480822846609623, 'z': -0.048927028843612996, 'w': 0.8291102505350504}","{'x': 0.045473017210426764, 'y': -1.199487452060558, 'z': -0.745649376449506}","{'x': 0.26115845008968785, 'y': 0.6287232366126687, 'z': -0.7096104952984938, 'w': 0.1815387029045556}","{'x': -0.2152534813953432, 'y': -1.182864094956521, 'z': -0.6357139227358429}","{'x': 0.045473017210426764, 'y': -1.199487452060558, 'z': -0.745649376449506}",0,1,ssshirt
robot_ssshirt_resize,ssshirt_blue_3,471,1722190119487894018,1722190117079815681,"{'x': -0.22808044384689158, 'y': -1.1264260304626816, 'z': -0.5058255228676356}","{'x': 0.41129244756828126, 'y': 0.25509008386094245, 'z': -0.30541652916281703, 'w': 0.8200538490875147}","{'x': 0.14277569520083777, 'y': -1.2035488531992324, 'z': -0.84985385757512}","{'x': -0.4122979978721364, 'y': 0.7236858999018113, 'z': -0.0610342045555376, 'w': -0.5500580924849721}","{'x': -0.22808044384689158, 'y': -1.1264260304626816, 'z': -0.5058255228676356}","{'x': 0.14277569520083777, 'y': -1.2035488531992324, 'z': -0.84985385757512}",0,1,ssshirt
robot_selected_item2_resize,ssshirt_pink_33,126,1724965474741719945,1724965471636769457,"{'x': 0.057501809052568104, 'y': -1.0991357700857634, 'z': -0.9100912689357382}","{'x': 0.4796729858633727, 'y': 0.5694308042736973, 'z': -0.056426285256649056, 'w': 0.6651905442121545}","{'x': 0.5698515725465609, 'y': -1.1367589803946654, 'z': -0.6467348632072699}","{'x': -0.38796786511773196, 'y': 0.5541796694565732, 'z': -0.5272305244042819, 'w': -0.5141923800810148}","{'x': 0.057501809052568104, 'y': -1.0991357700857634, 'z': -0.9100912689357382}","{'x': 0.5698515725465609, 'y': -1.1367589803946654, 'z': -0.6467348632072699}",1,0,ssshirt
robot_ssshirt_resize,ssshirt_yellow_6,80,1723376753369301137,1723376751166067840,"{'x': -0.01425998355047628, 'y': -0.820425671376546, 'z': -0.8884761694412158}","{'x': 0.41652707630192515, 'y': 0.6528691554395514, 'z': -0.36750989064572503, 'w': 0.5149791654626275}","{'x': 0.05749081634181291, 'y': -1.0357077879227512, 'z': -0.8608252733297559}","{'x': 0.6449576766050865, 'y': 0.5758386504819096, 'z': -0.40159384062935577, 'w': 0.3019301759809796}","{'x': -0.01425998355047628, 'y': -0.820425671376546, 'z': -0.8884761694412158}","{'x': 0.05749081634181291, 'y': -1.0357077879227512, 'z': -0.8608252733297559}",0,1,ssshirt
robot_selected_item3_resize,ssshirt_pink_51,141,1725033865580600313,1725033863577726178,"{'x': -0.12200346432892803, 'y': -1.1838193349864747, 'z': -0.8124368192409375}","{'x': 0.46994568827340844, 'y': 0.46542680791260266, 'z': -0.16099176574179414, 'w': 0.732537089786488}","{'x': 0.4785249214454961, 'y': -1.116507452653226, 'z': -0.4897807453693536}","{'x': -0.31148557392155185, 'y': 0.5459068816909716, 'z': -0.5690312748822389, 'w': -0.5302507161401058}","{'x': -0.12200346432892803, 'y': -1.1838193349864747, 'z': -0.8124368192409375}","{'x': 0.4785249214454961, 'y': -1.116507452653226, 'z': -0.4897807453693536}",1,0,ssshirt
robot_ssshirt_resize,ssshirt_bluebl_3,272,1722197665602865039,1722197663807061947,"{'x': -0.14342278117693988, 'y': -1.2568781189379354, 'z': -0.8460716850068066}","{'x': 0.44953896782530767, 'y': 0.5598053633037346, 'z': -0.18690137958612998, 'w': 0.670522591663944}","{'x': 0.03494843541252696, 'y': -1.0901895341236834, 'z': -0.9789806307625016}","{'x': 0.43430508595398865, 'y': 0.7095304305900505, 'z': -0.5456901150121316, 'w': 0.10083629683423886}","{'x': -0.14342278117693988, 'y': -1.2568781189379354, 'z': -0.8460716850068066}","{'x': 0.03494843541252696, 'y': -1.0901895341236834, 'z': -0.9789806307625016}",1,0,ssshirt
robot_selected_item3_resize,ssshirt_pink_51,28,1725033837550777701,1725033835554751362,"{'x': -0.1664024817565444, 'y': -0.9276097254405851, 'z': -0.7772608529234456}","{'x': 0.3164465867388532, 'y': 0.6855152367715757, 'z': -0.13255583340548333, 'w': 0.6421521384574824}","{'x': -0.07045871107876739, 'y': -0.7905537577913867, 'z': -0.7903891083062384}","{'x': -0.6355756356835016, 'y': 0.31067598381513717, 'z': 0.0008553631410854745, 'w': -0.7067696320300599}","{'x': -0.1664024817565444, 'y': -0.9276097254405851, 'z': -0.7772608529234456}","{'x': -0.07045871107876739, 'y': -0.7905537577913867, 'z': -0.7903891083062384}",1,0,ssshirt
