name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
robot_sstshirt_resize,sstshirt_whitenf_1,303,1722958167090987649,1722958164889750089,"{'x': -0.20754961139164987, 'y': -1.2525008848753938, 'z': -0.8163445382618341}","{'x': 0.3999157045654435, 'y': 0.5951257214784181, 'z': -0.2960700400770996, 'w': 0.631058900773503}","{'x': 0.4885521348659028, 'y': -1.0855374957246353, 'z': -0.6151346174669747}","{'x': -0.4928663006415991, 'y': 0.31208849379783843, 'z': -0.6683107798963578, 'w': -0.46156720334658013}","{'x': -0.20754961139164987, 'y': -1.2525008848753938, 'z': -0.8163445382618341}","{'x': 0.4885521348659028, 'y': -1.0855374957246353, 'z': -0.6151346174669747}",1,0,sstshirt
robot_sstshirt_resize,sstshirt_greyad_6,25,1723386014811388892,1723386012195401626,"{'x': -0.03233902583768411, 'y': -0.9188636366654096, 'z': -0.747343510118814}","{'x': 0.23789046394988, 'y': 0.7456440205078356, 'z': 0.07538305866151057, 'w': 0.6178515325783828}","{'x': -0.016743597375727698, 'y': -0.7886096756950841, 'z': -0.8092808610242611}","{'x': 0.15892175996976166, 'y': 0.744226500324203, 'z': -0.6423998687832246, 'w': 0.09051629140987977}","{'x': -0.03233902583768411, 'y': -0.9188636366654096, 'z': -0.747343510118814}","{'x': -0.016743597375727698, 'y': -0.7886096756950841, 'z': -0.8092808610242611}",1,0,sstshirt
robot_sstshirt_resize,sstshirt_black_7,312,1723385467798587306,1723385464583545966,"{'x': -0.10736271149283466, 'y': -1.205011781456169, 'z': -0.5719309867769233}","{'x': 0.3074102920371266, 'y': 0.38699386825351956, 'z': -0.29038807457843185, 'w': 0.8193957678841508}","{'x': 0.2937749891394419, 'y': -1.2485612142280342, 'z': -0.8782883198105874}","{'x': 0.8108116919191917, 'y': 0.2799250680883805, 'z': -0.4714642968159411, 'w': 0.20481155565715434}","{'x': -0.10736271149283466, 'y': -1.205011781456169, 'z': -0.5719309867769233}","{'x': 0.2937749891394419, 'y': -1.2485612142280342, 'z': -0.8782883198105874}",0,1,sstshirt
robot_sstshirt_resize,sstshirt_whitenf_3,270,1722958591055068223,1722958588649369053,"{'x': -0.09536193478253877, 'y': -1.254224606257559, 'z': -0.9588637784026948}","{'x': 0.5398795220852455, 'y': 0.6030174644126626, 'z': -0.18765142930835874, 'w': 0.5564952653211529}","{'x': 0.4666880530773272, 'y': -1.1246910914752042, 'z': -0.6648129586066348}","{'x': -0.45515938562366304, 'y': 0.3619389147686991, 'z': -0.5981509224617588, 'w': -0.5514033275315746}","{'x': -0.09536193478253877, 'y': -1.254224606257559, 'z': -0.9588637784026948}","{'x': 0.4666880530773272, 'y': -1.1246910914752042, 'z': -0.6648129586066348}",1,0,sstshirt
robot_sstshirt_resize,sstshirt_greyad_3,81,1722968500757120129,1722968498357719874,"{'x': -0.07905294394455822, 'y': -0.9290670097471383, 'z': -0.6053414180608613}","{'x': -0.45377897146269486, 'y': -0.32587239107179683, 'z': -0.37999265800712206, 'w': -0.7372227679989889}","{'x': 0.02751105321597544, 'y': -1.177872631295911, 'z': -0.699232137184936}","{'x': -0.16890647080997426, 'y': 0.5765883747119661, 'z': -0.7573096664195342, 'w': -0.2559267852591172}","{'x': -0.07905294394455822, 'y': -0.9290670097471383, 'z': -0.6053414180608613}","{'x': 0.02751105321597544, 'y': -1.177872631295911, 'z': -0.699232137184936}",0,1,sstshirt
robot_sstshirt_resize,sstshirt_whitenf_4,44,1722958934496205414,1722958931885413956,"{'x': 0.025988181979696684, 'y': -1.0213522976356684, 'z': -0.8204768433590699}","{'x': -0.6223974852872504, 'y': -0.2913297197471333, 'z': -0.3364039709758303, 'w': -0.6438794398114109}","{'x': 0.0731963129929929, 'y': -0.7509551539345706, 'z': -0.8715601994183065}","{'x': -0.7575346987119423, 'y': 0.25979450927660797, 'z': -0.21401046633950607, 'w': -0.5593277335286354}","{'x': 0.025988181979696684, 'y': -1.0213522976356684, 'z': -0.8204768433590699}","{'x': 0.0731963129929929, 'y': -0.7509551539345706, 'z': -0.8715601994183065}",1,0,sstshirt
robot_sstshirt_resize,sstshirt_greyad_7,29,1723386477781617829,1723386475187861178,"{'x': -0.1627072032580691, 'y': -1.0674504027600082, 'z': -0.73339048621019}","{'x': 0.47185800103601017, 'y': 0.6043207017108421, 'z': 0.0865343671820899, 'w': 0.6361275969791056}","{'x': -0.14965247075870425, 'y': -0.6885859759920147, 'z': -0.8147501125571213}","{'x': 0.16509215383447062, 'y': 0.7880782925826187, 'z': -0.5916546175900289, 'w': -0.040274048551843245}","{'x': -0.1627072032580691, 'y': -1.0674504027600082, 'z': -0.73339048621019}","{'x': -0.14965247075870425, 'y': -0.6885859759920147, 'z': -0.8147501125571213}",1,0,sstshirt
robot_selected_item2_resize,sstshirt_green_27,78,1724886941042604739,1724886938846110179,"{'x': 0.07675872012881271, 'y': -1.151276251463571, 'z': -0.6825662162774758}","{'x': -0.5492924794478415, 'y': -0.06752419057904666, 'z': -0.4278343274365686, 'w': -0.7146160115583656}","{'x': 0.0215156805536392, 'y': -0.8857928294532063, 'z': -0.5737059075808851}","{'x': 0.426178843219776, 'y': 0.20241076289015078, 'z': -0.48495729414133604, 'w': 0.7363544659450327}","{'x': 0.07675872012881271, 'y': -1.151276251463571, 'z': -0.6825662162774758}","{'x': 0.0215156805536392, 'y': -0.8857928294532063, 'z': -0.5737059075808851}",1,0,sstshirt
robot_sstshirt_resize,sstshirt_black_8,85,1723385533922463858,1723385531718187631,"{'x': 0.1817826728260679, 'y': -0.9901874656776878, 'z': -0.5590827329440897}","{'x': 0.40524488854756474, 'y': 0.1965561798835478, 'z': 0.429240619009686, 'w': 0.7828759412881707}","{'x': 0.1720525156527532, 'y': -0.7522753306873214, 'z': -0.5539502260879717}","{'x': -0.09069952232549644, 'y': 0.6865299136329626, 'z': -0.7085789771913145, 'w': -0.13552161237070104}","{'x': 0.1817826728260679, 'y': -0.9901874656776878, 'z': -0.5590827329440897}","{'x': 0.1720525156527532, 'y': -0.7522753306873214, 'z': -0.5539502260879717}",1,0,sstshirt
robot_sstshirt_resize,sstshirt_whitenf_1,224,1722958146475083528,1722958144678043236,"{'x': -0.22459984654291112, 'y': -1.2583068787123792, 'z': -0.9076331844294989}","{'x': 0.648530146909374, 'y': 0.38683836505834435, 'z': -0.22895652334447011, 'w': 0.6142830278354643}","{'x': 0.42342866001050483, 'y': -1.1342073301057392, 'z': -0.7570790856851575}","{'x': -0.5393088281630166, 'y': 0.3580309802613203, 'z': -0.5569229941665516, 'w': -0.520381190673832}","{'x': -0.22459984654291112, 'y': -1.2583068787123792, 'z': -0.9076331844294989}","{'x': 0.42342866001050483, 'y': -1.1342073301057392, 'z': -0.7570790856851575}",1,0,sstshirt
