name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
robot_sweater_resize,sweater_ricewhite_2,105,1723229324194817914,1723229321778174235,"{'x': 0.08570701679717699, 'y': -1.1808598804159003, 'z': -0.8674850922353359}","{'x': 0.6232662895977544, 'y': 0.36726097607574404, 'z': 0.13938961100972191, 'w': 0.6761871368530302}","{'x': 0.1340018107929045, 'y': -0.8377185405845086, 'z': -0.729910610048713}","{'x': -0.20074963438715926, 'y': 0.6617593101397103, 'z': -0.7043461813395824, 'w': -0.16022064963413696}","{'x': 0.08570701679717699, 'y': -1.1808598804159003, 'z': -0.8674850922353359}","{'x': 0.1340018107929045, 'y': -0.8377185405845086, 'z': -0.729910610048713}",1,0,sweater
robot_sweater_resize,sweater_ricewhite_1,133,1723228783785188412,1723228781176218237,"{'x': -0.11329352444995705, 'y': -1.1364977023457823, 'z': -0.5278772684292905}","{'x': 0.43979183772349983, 'y': 0.3467758828370568, 'z': -0.12808655367541244, 'w': 0.8184885224130649}","{'x': 0.4545362644335813, 'y': -1.2524744953547917, 'z': -0.8421380349386133}","{'x': 0.08103791976447322, 'y': 0.7467856318902839, 'z': -0.5842854905916197, 'w': 0.30717184286094046}","{'x': -0.11329352444995705, 'y': -1.1364977023457823, 'z': -0.5278772684292905}","{'x': 0.4545362644335813, 'y': -1.2524744953547917, 'z': -0.8421380349386133}",0,1,sweater
robot_sweater_resize,sweater_ricewhite_8,222,1723740768563441509,1723740766161876103,"{'x': -0.23951746992976783, 'y': -1.2524501923025082, 'z': -0.5977555837836507}","{'x': 0.34293377089765437, 'y': 0.5141291629362765, 'z': -0.16202934121906865, 'w': 0.7692945633373951}","{'x': 0.4814682251858223, 'y': -1.0780819055311668, 'z': -0.4580384554282921}","{'x': 0.5114591541268554, 'y': 0.2818187871250739, 'z': -0.484488508696011, 'w': 0.6513513566614484}","{'x': -0.23951746992976783, 'y': -1.2524501923025082, 'z': -0.5977555837836507}","{'x': 0.4814682251858223, 'y': -1.0780819055311668, 'z': -0.4580384554282921}",1,0,sweater
robot_sweater_resize,sweater_blue_4,121,1723216400903735699,1723216398515517119,"{'x': -0.007047325750932615, 'y': -0.7445473948943151, 'z': -0.6411375691726721}","{'x': -0.6627808024460669, 'y': 0.03794975119274141, 'z': -0.4810378472629896, 'w': -0.5726115732273891}","{'x': 0.082394143519221, 'y': -0.9271382185537773, 'z': -0.5792216558901796}","{'x': -0.3947750932233255, 'y': -0.4799376855706896, 'z': 0.6287120197617163, 'w': 0.4674758174993737}","{'x': -0.007047325750932615, 'y': -0.7445473948943151, 'z': -0.6411375691726721}","{'x': 0.082394143519221, 'y': -0.9271382185537773, 'z': -0.5792216558901796}",0,1,sweater
robot_sweater_resize,sweater_blue_7,229,1723562421908872159,1723562419298240163,"{'x': -0.6587691243324246, 'y': -1.1063238279007785, 'z': -0.5215470959248416}","{'x': 0.13235507921381073, 'y': 0.6847936887809862, 'z': -0.5797512459616401, 'w': 0.421222304274075}","{'x': 0.2504361153672449, 'y': -1.259733640482981, 'z': -0.9341345272127904}","{'x': 0.8221082378565687, 'y': 0.2795743922562052, 'z': -0.47131784500063223, 'w': 0.15438812592586662}","{'x': -0.6587691243324246, 'y': -1.1063238279007785, 'z': -0.5215470959248416}","{'x': 0.2504361153672449, 'y': -1.259733640482981, 'z': -0.9341345272127904}",0,1,sweater
robot_sweater_resize,sweater_whiteyel_8,149,1723564396908611519,1723564394125017772,"{'x': -0.2538460826527601, 'y': -1.2537523722530655, 'z': -0.8054082299911048}","{'x': 0.30891137618713294, 'y': 0.6158073366978379, 'z': -0.41240254185945435, 'w': 0.5960530422698539}","{'x': 0.42457244722415066, 'y': -1.1488720303212292, 'z': -0.4564643891994051}","{'x': 0.6078604855413081, 'y': 0.15604460235192066, 'z': -0.5466190277860098, 'w': 0.5544035990653318}","{'x': -0.2538460826527601, 'y': -1.2537523722530655, 'z': -0.8054082299911048}","{'x': 0.42457244722415066, 'y': -1.1488720303212292, 'z': -0.4564643891994051}",1,0,sweater
robot_selected_item2_resize,sweater_blue_11,128,1724870169896236424,1724870167898727143,"{'x': -0.22095310557787595, 'y': -0.9798350515213706, 'z': -0.5363163710138833}","{'x': 0.4806950937825471, 'y': 0.3169404227344944, 'z': -0.16012532226744053, 'w': 0.8017735817667083}","{'x': 0.2528176015225223, 'y': -1.267223813154555, 'z': -0.4996019661426498}","{'x': -0.5347442099022, 'y': 0.3107551248269924, 'z': -0.4401099920400491, 'w': -0.6509862343216944}","{'x': -0.22095310557787595, 'y': -0.9798350515213706, 'z': -0.5363163710138833}","{'x': 0.2528176015225223, 'y': -1.267223813154555, 'z': -0.4996019661426498}",0,1,sweater
robot_selected_item2_resize,sweater_blue_19,131,1724879705950117667,1724879703560448518,"{'x': -0.23651178478972887, 'y': -1.0327349901874423, 'z': -0.58711158270799}","{'x': 0.5079483015767434, 'y': 0.3866169982496627, 'z': -0.2627804502439911, 'w': 0.7235069139678538}","{'x': 0.3373233587453969, 'y': -1.2678980144064522, 'z': -0.47936810405725155}","{'x': -0.3721443004956564, 'y': 0.4424166592687672, 'z': -0.5176211815403615, 'w': -0.6307491035513425}","{'x': -0.23651178478972887, 'y': -1.0327349901874423, 'z': -0.58711158270799}","{'x': 0.3373233587453969, 'y': -1.2678980144064522, 'z': -0.47936810405725155}",0,1,sweater
robot_selected_item2_resize,sweater_blue_15,376,1724879243661137888,1724879241364998968,"{'x': -0.16160596924966683, 'y': -1.1294535522532967, 'z': -0.6247387826235975}","{'x': 0.3493071668107397, 'y': 0.427429916707018, 'z': 0.006041844010179764, 'w': 0.8338175253851663}","{'x': 0.03456531939306637, 'y': -1.1314791840803275, 'z': -0.6964849020996924}","{'x': -0.5217493332083796, 'y': 0.2711773339892283, 'z': -0.10546299016282057, 'w': -0.801946410013177}","{'x': -0.16160596924966683, 'y': -1.1294535522532967, 'z': -0.6247387826235975}","{'x': 0.03456531939306637, 'y': -1.1314791840803275, 'z': -0.6964849020996924}",0,1,sweater
robot_sweater_resize,sweater_whitesnow_8,60,1723741581550076623,1723741578938106917,"{'x': 0.0796560834052453, 'y': -1.1008225014606183, 'z': -0.7907994019337149}","{'x': 0.429967190903857, 'y': 0.4921545123972758, 'z': -0.31582845617820243, 'w': 0.6878695639009906}","{'x': 0.18815855016725253, 'y': -0.7489602565319654, 'z': -0.7746219637018837}","{'x': 0.21008547752215923, 'y': 0.6634838236167797, 'z': -0.6698184978734197, 'w': 0.2588367976925614}","{'x': 0.0796560834052453, 'y': -1.1008225014606183, 'z': -0.7907994019337149}","{'x': 0.18815855016725253, 'y': -0.7489602565319654, 'z': -0.7746219637018837}",1,0,sweater
