name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper,garment_type
robot_towel_resize,towel_blue_2,223,1722119118238014219,1722119116039991048,"{'x': -0.10172190280694324, 'y': -1.261194525017691, 'z': -0.47877955552235346}","{'x': -0.657677703331806, 'y': 0.3118034062309617, 'z': -0.594737642655555, 'w': -0.3413587713996584}","{'x': 0.21232551002016536, 'y': -1.0157432616011322, 'z': -0.6739602689219872}","{'x': -0.5569701076414509, 'y': 0.4790488965533159, 'z': -0.2580699757650067, 'w': -0.6274522623383949}","{'x': -0.10172190280694324, 'y': -1.261194525017691, 'z': -0.47877955552235346}","{'x': 0.21232551002016536, 'y': -1.0157432616011322, 'z': -0.6739602689219872}",1,0,towel
robot_selected_item2_resize,towel_red_30,33,1724885002979613837,1724885000168798109,"{'x': -0.17515001549664036, 'y': -1.100338729963755, 'z': -0.5819785989846185}","{'x': -0.4837768666069474, 'y': -0.16390715151503157, 'z': -0.3637465177098731, 'w': -0.7789626819508964}","{'x': -0.10353679869439436, 'y': -0.8987030978569825, 'z': -0.6118363782607785}","{'x': 0.513610108985127, 'y': 0.2575797792541298, 'z': -0.31168505094839394, 'w': 0.7567758864307031}","{'x': -0.17515001549664036, 'y': -1.100338729963755, 'z': -0.5819785989846185}","{'x': -0.10353679869439436, 'y': -0.8987030978569825, 'z': -0.6118363782607785}",1,0,towel
robot_towel_resize,towel_pink_4,51,1722119837260872707,1722119834560664350,"{'x': -0.02287527382227994, 'y': -1.10261638123058, 'z': -0.7442211109060176}","{'x': 0.4736827564216811, 'y': 0.4189521557371845, 'z': 0.18955065576353952, 'w': 0.7511153615600845}","{'x': 0.009955853114312851, 'y': -0.6644337662169124, 'z': -0.7755141124031295}","{'x': -0.6974052077501769, 'y': 0.268119748042252, 'z': -0.06713404947218482, 'w': -0.6612342975936427}","{'x': -0.02287527382227994, 'y': -1.10261638123058, 'z': -0.7442211109060176}","{'x': 0.009955853114312851, 'y': -0.6644337662169124, 'z': -0.7755141124031295}",1,0,towel
robot_towel_resize,towel_blue_5,271,1722119427758596777,1722119425156526392,"{'x': -0.28179562876082975, 'y': -1.2468281068483158, 'z': -0.5565358574992503}","{'x': -0.8120905063919154, 'y': 0.20949045368606917, 'z': -0.5341622616554009, 'w': -0.10627058607965911}","{'x': 0.6156981923516864, 'y': -1.1958523269451833, 'z': -0.5582724448057906}","{'x': -0.3727594429380229, 'y': 0.6914373047042646, 'z': -0.5039141923831588, 'w': -0.3592148912262207}","{'x': -0.28179562876082975, 'y': -1.2468281068483158, 'z': -0.5565358574992503}","{'x': 0.6156981923516864, 'y': -1.1958523269451833, 'z': -0.5582724448057906}",1,0,towel
robot_selected_item2_resize,towel_red_40,33,1724960306602815718,1724960304399196580,"{'x': -0.10265848031951133, 'y': -1.1303288916788579, 'z': -0.6867633070307358}","{'x': 0.5043189075530687, 'y': 0.4208843434877558, 'z': 0.12832786119375977, 'w': 0.7430011903979665}","{'x': -0.05311244923947228, 'y': -0.6650176190185826, 'z': -0.7130169935256131}","{'x': -0.5831636998960839, 'y': 0.2569822603823443, 'z': 0.20699643611690538, 'w': -0.7423157632754347}","{'x': -0.10265848031951133, 'y': -1.1303288916788579, 'z': -0.6867633070307358}","{'x': -0.05311244923947228, 'y': -0.6650176190185826, 'z': -0.7130169935256131}",1,0,towel
robot_towel_resize,towel_pink_8,190,1723311256643839331,1723311253840718264,"{'x': -0.4020041565554869, 'y': -1.2123825761793547, 'z': -0.5742197562264296}","{'x': 0.31749211777793285, 'y': 0.36075127997497974, 'z': -0.5982458556213799, 'w': 0.6412169409623704}","{'x': 0.3255441703341338, 'y': -1.254416118612029, 'z': -0.5102110726806669}","{'x': 0.6914330369061052, 'y': 0.21497207854654402, 'z': -0.6551158511355613, 'w': 0.21570948637254753}","{'x': -0.4020041565554869, 'y': -1.2123825761793547, 'z': -0.5742197562264296}","{'x': 0.3255441703341338, 'y': -1.254416118612029, 'z': -0.5102110726806669}",0,1,towel
robot_towel_resize,towel_red_8,66,1723319568436717055,1723319565642491070,"{'x': 0.02321547235138058, 'y': -0.8427410564477626, 'z': -0.6652831952771059}","{'x': -0.4634128920093434, 'y': 0.39429549712110923, 'z': -0.7200294826779048, 'w': -0.333672139298658}","{'x': 0.047122662793312925, 'y': -1.0831038703929903, 'z': -0.6484968464990887}","{'x': 0.24752497778357307, 'y': 0.5125659897298261, 'z': -0.8117890021749732, 'w': -0.13040746716843715}","{'x': 0.02321547235138058, 'y': -0.8427410564477626, 'z': -0.6652831952771059}","{'x': 0.047122662793312925, 'y': -1.0831038703929903, 'z': -0.6484968464990887}",0,1,towel
robot_towel_resize,towel_red_5,127,1722118461644344915,1722118459042444021,"{'x': -0.20464869742529895, 'y': -0.8843301753056831, 'z': -0.5609755988520932}","{'x': -0.04810814598729635, 'y': 0.584633782364526, 'z': -0.6758367118730033, 'w': 0.4462439755251607}","{'x': 0.010467072260763821, 'y': -1.266882851501239, 'z': -0.7808984558175133}","{'x': 0.4162520407989846, 'y': 0.5873988005298357, 'z': -0.6351882770253567, 'w': 0.27970116266535183}","{'x': -0.20464869742529895, 'y': -0.8843301753056831, 'z': -0.5609755988520932}","{'x': 0.010467072260763821, 'y': -1.266882851501239, 'z': -0.7808984558175133}",0,1,towel
robot_towel_resize,towel_blue_6,159,1723311543097870192,1723311540096257586,"{'x': -0.25340738525971607, 'y': -1.2556049174926456, 'z': -0.6767616242281788}","{'x': 0.11949014432702282, 'y': 0.7595535345312486, 'z': -0.26204461750187563, 'w': 0.5832093552302554}","{'x': 0.3858134041798148, 'y': -1.1239645066039994, 'z': -0.6758560848433222}","{'x': 0.35720972054950795, 'y': 0.48640444145704637, 'z': -0.6573286454385455, 'w': 0.4513656907228639}","{'x': -0.25340738525971607, 'y': -1.2556049174926456, 'z': -0.6767616242281788}","{'x': 0.3858134041798148, 'y': -1.1239645066039994, 'z': -0.6758560848433222}",1,0,towel
robot_towel_resize,towel_pink_8,39,1723311217032001814,1723311214428376683,"{'x': -0.07430557679450059, 'y': -1.2510070676925804, 'z': -0.7278175454958512}","{'x': 0.49114132553187706, 'y': 0.4478715428449846, 'z': 0.1404473128927229, 'w': 0.7338023110931563}","{'x': -0.032626227665850493, 'y': -0.7954493038166636, 'z': -0.7879381071978958}","{'x': 0.20388336538101393, 'y': 0.7183789757369046, 'z': -0.6539626656245443, 'w': 0.12122727625971086}","{'x': -0.07430557679450059, 'y': -1.2510070676925804, 'z': -0.7278175454958512}","{'x': -0.032626227665850493, 'y': -0.7954493038166636, 'z': -0.7879381071978958}",1,0,towel
