name,subname,index,time,pc_time,original_pos_left,original_ori_left,original_pos_right,original_ori_right,grasp_pos_left,grasp_pos_right,left_gripper,right_gripper
arif_checked_process,sweater_blue,42,1717782903611124691,1717782902605116468,"{'x': -0.004743415862321854, 'y': -0.4059487581253052, 'z': -0.8208905160427094}","{'x': 0.5977929619648815, 'y': 0.32971321905076284, 'z': 0.16016607719603018, 'w': 0.7129373012573214}","{'x': 0.24230707809329033, 'y': -0.4061990976333618, 'z': -0.7133757770061493}","{'x': -0.24475676037430358, 'y': -0.7730411804976407, 'z': 0.5030159144879583, 'w': 0.29912614609514304}",,"[0.18416737310400969, -0.4879522266391529, -0.7838115676350753]",0,1
arif_checked_process,sweater_blue,79,1717782906435420934,1717782905287913999,"{'x': 0.0016531012952327728, 'y': -0.5389668941497803, 'z': -0.8744130879640579}","{'x': 0.3679351702228058, 'y': 0.4055726383133648, 'z': 0.3719933898387202, 'w': 0.7495034779645452}","{'x': 0.3108179084956646, 'y': -0.25605082511901855, 'z': -0.6715576201677322}","{'x': -0.10976734635167465, 'y': -0.8294952769768731, 'z': 0.5475228559391512, 'w': 0.010365200056325088}","[0.10710078983329284, -0.5284367501281997, -0.8128103197724819]",,1,0
arif_checked_process,sweater_blue,150,1717782911196612207,1717782910190780070,"{'x': -0.23593486845493317, 'y': -1.1401281356811523, 'z': -0.425571084022522}","{'x': -0.1973684439533622, 'y': 0.42106743625953963, 'z': -0.30420575816073747, 'w': 0.8313884580357715}","{'x': 0.3762889951467514, 'y': -1.1492013931274414, 'z': -0.5248110890388489}","{'x': 0.46460011853557515, 'y': 0.4273609246842371, 'z': -0.7365695168124942, 'w': 0.2428471058348693}",,"[0.35760666677331715, -1.2642351576834867, -0.4868215691865064]",0,1
arif_checked_process,sweater_blue,183,1717782913878996218,1717782912539979513,"{'x': -0.3295804113149643, 'y': -1.119646430015564, 'z': -0.5877507776021957}","{'x': 0.15580650809710145, 'y': 0.5984500774127567, 'z': -0.47573033359479966, 'w': 0.6255097813599992}","{'x': 0.3947017043828964, 'y': -1.153368353843689, 'z': -0.4203878790140152}","{'x': 0.598695496580109, 'y': 0.2400634824593166, 'z': -0.7520643994126593, 'w': 0.13539706754681982}","[-0.24214980456436586, -1.2048386751686748, -0.5988489922781909]",,1,0
arif_checked_process,sweater_blue,220,1717782916560842148,1717782915556327562,"{'x': -0.32095373794436455, 'y': -1.1440168619155884, 'z': -0.7577711492776871}","{'x': 0.19064430467380894, 'y': 0.4991562175837892, 'z': -0.4773989122674206, 'w': 0.6975586700118983}","{'x': -0.02921852096915245, 'y': -1.1525074243545532, 'z': -0.5760457664728165}","{'x': -0.11617740179279498, 'y': -0.43533763221438376, 'z': 0.8920300008979213, 'w': 0.03558700308685628}","[-0.23473644095921692, -1.2295382191489141, -0.7411075615023989]","[-0.026373435722653955, -1.2643655304571793, -0.5259990923667998]",1,1
arif_checked_process,sweater_blue,276,1717782920453840240,1717782919446518676,"{'x': -0.2688027657568455, 'y': -1.1478315591812134, 'z': -0.41711778938770294}","{'x': -0.11743855604719125, 'y': 0.4576122959346056, 'z': -0.2756534431555928, 'w': 0.8371465531431614}","{'x': 0.12063701078295708, 'y': -1.0786176919937134, 'z': -0.6863212734460831}","{'x': -0.41373638590228157, 'y': -0.5975272407167803, 'z': 0.6765440400933166, 'w': 0.11862361230430465}",,"[0.06885783213295454, -1.1876895970827617, -0.7074692326520385]",0,1
arif_checked_process,sweater_blue,317,1717782923403870074,1717782922268498162,"{'x': 0.19756323099136353, 'y': -1.1548947095870972, 'z': -0.6229747086763382}","{'x': 0.2544534362425641, 'y': 0.2476688568324092, 'z': -0.4320714448990384, 'w': 0.8289920703134236}","{'x': 0.44703105092048645, 'y': -1.1421018838882446, 'z': -0.773255243897438}","{'x': 0.24651586570227493, 'y': 0.46490119931697516, 'z': -0.8477947587794448, 'w': 0.06588512591472497}","[0.2598898293607268, -1.230819083266945, -0.5496542843934216]","[0.4423282502577667, -1.256786334488758, -0.730239427545948]",1,1
arif_checked_process,sweater_blue,364,1717782926826776874,1717782925618888255,"{'x': -0.306194543838501, 'y': -1.2189106941223145, 'z': -0.2258237972855568}","{'x': -0.3873437565514617, 'y': 0.6100038331357912, 'z': -0.2800668925662563, 'w': 0.6319989505596706}","{'x': 0.03991688787937164, 'y': -1.0436882376670837, 'z': -0.8989436626434326}","{'x': -0.03391819791750453, 'y': 0.37043786562506875, 'z': -0.9282244140993637, 'w': 0.004978014771509688}",,"[0.07703512344059138, -1.1434687239733163, -0.8381893118419177]",0,1
arif_checked_process,sweater_blue,401,1717782929578723818,1717782928506590365,"{'x': -0.06871677190065384, 'y': -1.0592260360717773, 'z': -1.014516830444336}","{'x': 0.17466527824799458, 'y': 0.5205635556258281, 'z': -0.01824022139546649, 'w': 0.8355674236422758}","{'x': 0.2622768059372902, 'y': -1.0613991022109985, 'z': -0.9998517632484436}","{'x': -0.36681949151688836, 'y': -0.41726890691235413, 'z': 0.789200964194633, 'w': 0.26170968281995655}","[0.05068340322156613, -1.0622866259100399, -0.9869626842840005]","[0.18518469592140296, -1.1520800449262638, -0.9705469308556606]",1,1
arif_checked_process,sweater_whitesnow,42,1717783338276987832,1717783337267922062,"{'x': -0.13634243980050087, 'y': -0.39239925146102905, 'z': -0.7413870990276337}","{'x': 0.6681306249664548, 'y': 0.2712592522574788, 'z': -0.03376951699728194, 'w': 0.6920112034992052}","{'x': 0.3535584472119808, 'y': -0.7995163202285767, 'z': -0.7503959834575653}","{'x': -0.31513773986253785, 'y': -0.6555554569034067, 'z': 0.5661200128970717, 'w': 0.38787031187745796}",,"[0.26827813931971545, -0.8775196374967791, -0.7912340977744211]",0,1
